timestamp,open,high,low,close,volume
1654084800000,1.36,1.3889,1.1524,1.1726,16694038.1
1654099200000,1.1727,1.3174,1.0353,1.2457,73265727.0
1654113600000,1.2457,1.3611,1.1354,1.2336,39855535.8
1654128000000,1.2327,1.3095,1.145,1.1807,27231547.6
1654142400000,1.1807,1.2103,1.05,1.1413,41691321.2
1654156800000,1.1411,1.2922,1.1087,1.2802,60226573.2
1654171200000,1.2809,1.5648,1.265,1.5439,266760713.2
1654185600000,1.544,1.62,1.37,1.4456,231021661.3
1654200000000,1.4449,1.568,1.4225,1.546,106825726.9
1654214400000,1.5455,1.65,1.5,1.5312,136619938.5
1654228800000,1.5302,1.5555,1.441,1.4648,115406659.3
1654243200000,1.4653,1.477,1.2881,1.3292,146517775.6
1654257600000,1.33,1.4076,1.3038,1.3864,108654465.1
1654272000000,1.3872,1.3991,1.3105,1.3452,51871390.0
1654286400000,1.3452,1.44,1.3279,1.3615,36639733.8
1654300800000,1.3614,1.3845,1.293,1.3212,40307287.6
1654315200000,1.321,1.424,1.3182,1.3967,51518942.7
1654329600000,1.3971,1.4848,1.3531,1.3763,97599223.8
1654344000000,1.3761,1.448,1.3222,1.4349,91222320.1
1654358400000,1.435,1.4444,1.3546,1.4017,59606217.3
1654372800000,1.4023,1.4471,1.3672,1.3921,33583328.1
1654387200000,1.3916,1.4333,1.347,1.3607,42349681.7
1654401600000,1.3601,1.386,1.3301,1.3486,33201711.9
1654416000000,1.3487,1.3616,1.2781,1.3185,50052706.6
1654430400000,1.3181,1.3254,1.16,1.2343,122836264.3
1654444800000,1.2345,1.27,1.2,1.2258,66589933.7
1654459200000,1.2258,1.2331,1.1493,1.1654,37035781.4
1654473600000,1.1644,1.2831,1.1395,1.2719,68218342.4
1654488000000,1.2723,1.3195,1.2426,1.3038,52793052.8
1654502400000,1.3038,1.3429,1.2422,1.2555,63302302.9
1654516800000,1.2555,1.28,1.2226,1.2712,50698156.2
1654531200000,1.2707,1.369,1.2483,1.3585,67849412.7
1654545600000,1.359,1.3607,1.298,1.3201,28082250.4
1654560000000,1.3204,1.3219,1.1671,1.2129,65456362.7
1654574400000,1.2125,1.2228,1.1811,1.2061,31757621.9
1654588800000,1.2063,1.2278,1.1532,1.1791,37753641.8
1654603200000,1.1797,1.1935,1.112,1.1634,65148975.8
1654617600000,1.1636,1.2248,1.1589,1.1978,35447183.8
1654632000000,1.1978,1.22,1.0457,1.1067,52101958.2
1654646400000,1.107,1.1186,0.892,0.9803,82177860.5
1654660800000,0.9802,1.0191,0.9388,0.9733,55341718.9
1654675200000,0.973,1.035,0.9686,1.0062,40551089.9
1654689600000,1.0063,1.0249,0.955,0.9896,42346403.2
1654704000000,0.9898,0.9974,0.883,0.9157,51431725.4
1654718400000,0.9155,0.9297,0.6968,0.7295,115338771.6
1654732800000,0.7287,0.9009,0.721,0.8557,150872715.9
1654747200000,0.8557,0.8962,0.8225,0.8579,73940762.7
1654761600000,0.8579,0.91,0.8401,0.845,72073343.8
1654776000000,0.8446,0.8565,0.803,0.8407,77092129.1
1654790400000,0.8409,0.8547,0.7848,0.7915,55550297.0
1654804800000,0.7916,0.8409,0.765,0.8232,52310968.8
1654819200000,0.8235,0.9478,0.794,0.9164,95978964.2
1654833600000,0.9164,0.9269,0.8601,0.8651,69894431.0
1654848000000,0.8649,0.9547,0.827,0.909,136473728.1
1654862400000,0.9092,0.968,0.8532,0.918,208777168.7
1654876800000,0.918,0.9288,0.86,0.8997,86557129.4
1654891200000,0.9001,0.935,0.863,0.8794,58275708.8
1654905600000,0.8794,0.9258,0.8734,0.9129,64913946.1
1654920000000,0.9129,0.9277,0.8752,0.8964,54343196.3
1654934400000,0.8958,0.9017,0.7807,0.803,99052694.0
1654948800000,0.8029,0.8199,0.7346,0.7601,85684172.6
1654963200000,0.7606,0.7993,0.7258,0.776,60315729.2
1654977600000,0.776,0.7956,0.7521,0.7619,31133158.8
1654992000000,0.762,0.7758,0.6231,0.6518,131113700.2
1655006400000,0.6513,0.689,0.6222,0.687,102732871.4
1655020800000,0.6872,0.7259,0.6666,0.6823,87524562.8
1655035200000,0.6823,0.75,0.6334,0.7199,112425397.8
1655049600000,0.7196,0.7598,0.6869,0.6878,56521374.2
1655064000000,0.688,0.7015,0.6413,0.6451,32119223.1
1655078400000,0.6444,0.6687,0.5406,0.5764,117792483.0
1655092800000,0.5761,0.6095,0.5,0.5203,109569629.3
1655107200000,0.5208,0.5584,0.4967,0.5441,144083409.0
1655121600000,0.5439,0.5663,0.5042,0.5504,108627072.2
1655136000000,0.5503,0.5933,0.5304,0.5328,60427850.2
1655150400000,0.5329,0.57,0.5032,0.544,43483876.0
1655164800000,0.5444,0.5839,0.5111,0.5712,75419326.6
1655179200000,0.5715,0.6261,0.5521,0.5913,76722834.1
1655193600000,0.5913,0.5985,0.5382,0.5493,55667199.2
1655208000000,0.5493,0.585,0.5329,0.5779,63560537.9
1655222400000,0.5778,0.5822,0.5373,0.5383,34526683.2
1655236800000,0.5385,0.5758,0.527,0.5645,37738630.2
1655251200000,0.5646,0.594,0.5464,0.5486,43064035.5
1655265600000,0.5491,0.5554,0.5243,0.5289,44646172.8
1655280000000,0.5288,0.5293,0.4699,0.5237,94512069.1
1655294400000,0.5234,0.5424,0.5091,0.5225,54549581.8
1655308800000,0.5221,0.5766,0.4846,0.553,81652257.4
1655323200000,0.553,0.6031,0.5484,0.5925,35352208.6
1655337600000,0.5925,0.6279,0.5672,0.5703,38947765.9
1655352000000,0.5698,0.5829,0.5415,0.5437,33585027.6
1655366400000,0.5434,0.5541,0.5,0.5146,61797022.9
1655380800000,0.5144,0.5348,0.506,0.5256,66894101.5
1655395200000,0.5257,0.5522,0.5159,0.5188,43579700.9
1655409600000,0.5187,0.5292,0.4796,0.4897,37336887.8
1655424000000,0.4898,0.52,0.4848,0.4917,55925135.4
1655438400000,0.4917,0.5274,0.489,0.5207,45875174.1
1655452800000,0.5208,0.5281,0.5035,0.5128,44898130.8
1655467200000,0.5129,0.519,0.498,0.505,43767052.5
1655481600000,0.5049,0.5103,0.495,0.4988,27978471.9
1655496000000,0.4987,0.5245,0.4972,0.5182,21262472.6
1655510400000,0.518,0.5281,0.5019,0.5099,27254629.9
1655524800000,0.5103,0.5232,0.451,0.4633,68042099.4
1655539200000,0.4632,0.4752,0.4465,0.4634,51712228.6
1655553600000,0.4635,0.4658,0.452,0.4537,25262820.7
1655568000000,0.4537,0.4613,0.4122,0.4131,54161451.5
1655582400000,0.4134,0.4574,0.3945,0.4489,94443605.6
1655596800000,0.4489,0.4649,0.4359,0.4428,41260500.0
1655611200000,0.4428,0.456,0.4351,0.4418,33009049.5
1655625600000,0.4419,0.5018,0.4381,0.4877,61484037.9
