sharpe_ratio,sortino_ratio,calmar_ratio,total_return,max_drawdown,win_rate,total_trades,parameters
20.5868,0,0,69079.6,0,1,2,keltner_squeeze
14.9155,0,0,74854.5,0,1,5,keltner_breakout
14.9155,0,0,74854.5,0,1,5,keltner_breakout
14.9155,0,0,74854.5,0,1,5,keltner_breakout
14.7917,0,0,34894.7,0,1,3,keltner_breakout
14.7445,0,0,37896.7,0,1,4,keltner_breakout
14.7445,0,0,37896.7,0,1,4,keltner_breakout
12.4156,101.251,3.02697e+33,235933,5645.63,0.818182,11,trend_pullback
11.7818,90.1124,4.13645e+29,268677,6652.76,0.846154,13,trend_pullback
11.7818,90.1124,4.13645e+29,268677,6652.76,0.846154,13,trend_pullback
11.709,64.0919,6.70651e+37,44543.2,9794.06,0.8,5,keltner_breakout
11.5893,96.1307,2.3724e+31,190896,5645.63,0.818182,11,trend_pullback
11.5893,96.1307,2.3724e+31,190896,5645.63,0.818182,11,trend_pullback
11.5414,91.9446,7.75024e+29,277373,6652.76,0.846154,13,trend_pullback
11.0679,92.8761,2.43972e+29,201622,5645.63,0.833333,12,trend_pullback
10.8949,58.8292,3.03918e+33,50187,9794.06,0.833333,6,keltner_breakout
10.8949,58.8292,3.03918e+33,50187,9794.06,0.833333,6,keltner_breakout
10.2008,87.0605,1.07765e+27,155526,5645.63,0.833333,12,trend_pullback
10.2008,87.0605,1.07765e+27,155526,5645.63,0.833333,12,trend_pullback
10.1378,59.2178,3.54083e+15,150294,12391.1,0.714286,21,keltner_squeeze
9.22089,88.2838,2.87978e+30,306021,12478.1,0.846154,13,trend_pullback
9.16912,87.9332,1.72685e+30,296894,11434.4,0.846154,13,trend_pullback
9.16912,87.9332,1.72685e+30,296894,11434.4,0.846154,13,trend_pullback
9.01884,38.9563,7.07106e+21,202169,22710.2,0.75,16,keltner_breakout
9.01884,38.9563,7.07106e+21,202169,22710.2,0.75,16,keltner_breakout
8.53533,38.4359,3.57341e+21,132660,22710.2,0.714286,14,keltner_breakout
8.32075,40.8136,2.02344e+19,311504,18744.4,0.857143,21,keltner_squeeze
8.10866,27.8652,1.42001e+21,27103.7,7066.57,0.714286,7,keltner_breakout
8.10866,27.8652,1.42001e+21,27103.7,7066.57,0.714286,7,keltner_breakout
7.57221,34.693,7.76828e+22,23926.1,7066.57,0.666667,6,keltner_breakout
