timeframe,date_from,date_to,bars_count,price_start,price_end,sharpe_ratio,sortino_ratio,calmar_ratio,total_return,max_drawdown_pct,win_rate,profit_factor,total_trades,exit_mode,parameters,plateau_ratio,avg_neighbor_sharpe,neighbor_count,composite_score,cc_sharpe,cc_calmar,cc_profit_factor,cc_plateau,cc_trades,cc_cost_stress,cc_win_rate,cc_dd_penalty,wfo_pass_rate,wfo_avg_test_sharpe
4h,2020-11-17,2026-05-09,12000,16573.5800,80673.2600,7.5480,13.8469,45.2846,27504.0737,9.7130,0.7259,5.0570,197,bb_reverse,"bollinger_breakout(bb_period=30,bb_std=2.5,vol_mult=1.5)",1.0000,4.2705,5,0.9692,0.2468,0.2000,0.1487,0.1500,0.0865,0.0955,0.0418,0.0000,0.0000,-9.8856
4h,2020-11-17,2026-05-09,12000,16573.5800,80673.2600,8.0045,12.5710,83.3034,30881.5901,15.3568,0.8000,5.7107,135,bb_mean_revert,"rsi_bb_mr(rsi_period=21,rsi_low=30,rsi_high=80,bb_period=15,bb_std=2)",1.0000,5.3322,6,0.9651,0.2476,0.2000,0.1494,0.1500,0.0716,0.0964,0.0500,0.0000,1.0000,22.2038
4h,2020-11-17,2026-05-09,12000,16573.5800,80673.2600,7.9397,18.7963,33.3293,12649.4639,7.4548,0.7012,4.1227,164,ema_cross,"ema_crossover(fast=5,slow=34,adx_min=25)",1.0000,5.3352,4,0.9575,0.2475,0.1995,0.1454,0.1500,0.0798,0.0963,0.0390,0.0000,0.4000,0.0193
4h,2020-11-17,2026-05-09,12000,16573.5800,80673.2600,8.7625,20.3602,53.0443,16975.0411,7.6177,0.6558,5.2512,154,ema_cross,"ema_crossover(fast=8,slow=34,adx_min=25)",1.0000,5.4680,5,0.9563,0.2486,0.2000,0.1490,0.1500,0.0773,0.0975,0.0340,0.0000,0.2500,-7.8252
4h,2020-11-17,2026-05-09,12000,16573.5800,80673.2600,8.5752,17.1371,66.9163,16548.2711,7.8158,0.6940,4.6121,134,ema_cross,"ema_crossover(fast=13,slow=21,adx_min=25)",1.0000,4.6400,3,0.9528,0.2484,0.2000,0.1476,0.1500,0.0713,0.0973,0.0382,0.0000,0.3333,-0.7877
4h,2020-11-17,2026-05-09,12000,16573.5800,80673.2600,8.7915,28.6285,73.3975,13124.8884,5.5031,0.6308,5.4394,130,ema_cross,"ema_crossover(fast=5,slow=89,adx_min=20)",1.0000,7.6471,5,0.9465,0.2486,0.2000,0.1492,0.1500,0.0700,0.0976,0.0312,0.0000,0.5000,-1.7424
4h,2020-11-17,2026-05-09,12000,16573.5800,80673.2600,8.6386,28.8715,82.5240,14726.6965,5.0021,0.5755,5.7673,139,ema_cross,"ema_crossover(fast=13,slow=55,adx_min=20)",1.0000,6.2763,6,0.9432,0.2484,0.2000,0.1495,0.1500,0.0729,0.0974,0.0251,0.0000,0.0000,-3.2742
4h,2020-11-17,2026-05-09,12000,16573.5800,80673.2600,6.8025,14.1088,23.1016,15354.5438,10.6245,0.6436,3.5580,188,ema_cross,"ema_crossover(fast=5,slow=55,adx_min=20)",1.0000,5.7576,5,0.9423,0.2447,0.1961,0.1404,0.1500,0.0849,0.0935,0.0326,0.0000,0.2500,-2.3620
4h,2020-11-17,2026-05-09,12000,16573.5800,80673.2600,7.1475,22.0683,19.2159,18045.3747,9.0749,0.5273,4.2547,256,ema_cross,"ema_crossover(fast=8,slow=34,adx_min=15)",1.0000,4.6659,6,0.9414,0.2458,0.1916,0.1461,0.1500,0.0936,0.0945,0.0197,0.0000,0.2000,-3.6257
4h,2020-11-17,2026-05-09,12000,16573.5800,80673.2600,10.7075,26.5665,152.4664,12196.9684,7.1161,0.7407,5.3477,81,ema_cross,"ema_crossover(fast=8,slow=144,adx_min=20)",1.0000,8.1959,5,0.9405,0.2496,0.2000,0.1491,0.1500,0.0493,0.0991,0.0434,0.0000,0.0000,0.0000
4h,2020-11-17,2026-05-09,12000,16573.5800,80673.2600,8.1630,13.2747,116.6647,49589.8858,8.3771,0.7831,8.3685,189,bb_mean_revert,"rsi_bb_mr(rsi_period=21,rsi_low=25,rsi_high=80,bb_period=20,bb_std=2)",0.7500,3.8247,8,0.9402,0.2478,0.2000,0.1500,0.1125,0.0851,0.0967,0.0481,0.0000,1.0000,24.6587
4h,2020-11-17,2026-05-09,12000,16573.5800,80673.2600,8.6253,18.2493,58.1562,13243.4882,9.6594,0.6607,4.3234,112,ema_cross,"ema_crossover(fast=21,slow=34,adx_min=25)",1.0000,7.0167,3,0.9401,0.2484,0.2000,0.1465,0.1500,0.0633,0.0974,0.0345,0.0000,0.5000,2.9418
4h,2020-11-17,2026-05-09,12000,16573.5800,80673.2600,6.9125,14.7922,23.9258,12944.6336,11.5444,0.6433,3.7952,157,ema_cross,"ema_crossover(fast=8,slow=55,adx_min=20)",1.0000,7.0163,6,0.9392,0.2451,0.1967,0.1430,0.1500,0.0781,0.0939,0.0326,0.0000,0.0000,-3.3689
4h,2020-11-17,2026-05-09,12000,16573.5800,80673.2600,9.3402,23.2189,106.4293,12249.0525,6.8326,0.6737,4.6224,95,ema_cross,"ema_crossover(fast=5,slow=144,adx_min=20)",1.0000,7.2103,4,0.9368,0.2490,0.2000,0.1476,0.1500,0.0560,0.0981,0.0360,0.0000,0.0000,-13.3634
4h,2020-11-17,2026-05-09,12000,16573.5800,80673.2600,7.2106,16.0690,37.2176,12939.5908,9.8656,0.6296,3.8630,135,ema_cross,"ema_crossover(fast=5,slow=89,adx_min=15)",1.0000,5.7565,5,0.9367,0.2459,0.1998,0.1435,0.1500,0.0716,0.0947,0.0311,0.0000,0.5000,-1.6990
4h,2020-11-17,2026-05-09,12000,16573.5800,80673.2600,7.0653,17.5266,25.1371,10749.6938,9.2605,0.6053,3.5126,152,trend_flip,"supertrend(atr_period=20,atr_mult=3,adx_min=20)",1.0000,4.1466,5,0.9322,0.2455,0.1974,0.1398,0.1500,0.0767,0.0943,0.0284,0.0000,0.5000,4.4245
4h,2020-11-17,2026-05-09,12000,16573.5800,80673.2600,8.5158,26.1721,87.5783,10145.3822,5.0336,0.6058,4.7490,104,ema_cross,"ema_crossover(fast=8,slow=89,adx_min=20)",1.0000,8.2506,6,0.9319,0.2483,0.2000,0.1480,0.1500,0.0600,0.0972,0.0284,0.0000,0.0000,-9.8295
4h,2020-11-17,2026-05-09,12000,16573.5800,80673.2600,8.5268,29.4935,116.4504,10080.9439,3.4101,0.5596,5.5693,109,ema_cross,"ema_crossover(fast=21,slow=55,adx_min=20)",1.0000,7.0083,6,0.9302,0.2483,0.2000,0.1493,0.1500,0.0621,0.0972,0.0233,0.0000,0.5000,3.4203
4h,2020-11-17,2026-05-09,12000,16573.5800,80673.2600,7.6381,11.5637,126.6023,12785.2781,17.3935,0.8030,4.2044,66,squeeze_release,"keltner_squeeze(ema=20,kelt_mult=2.5,bb=20,bb_std=1.5)",1.0000,4.9281,6,0.9299,0.2469,0.2000,0.1459,0.1500,0.0414,0.0957,0.0500,0.0000,0.0000,0.0000
4h,2020-11-17,2026-05-09,12000,16573.5800,80673.2600,7.6234,17.2107,89.6039,14732.1482,10.2546,0.6429,4.3736,98,bb_reverse,"bollinger_breakout(bb_period=30,bb_std=3,vol_mult=1.5)",1.0000,5.6513,4,0.9292,0.2469,0.2000,0.1467,0.1500,0.0574,0.0957,0.0325,0.0000,0.0000,-62.5544
4h,2020-11-17,2026-05-09,12000,16573.5800,80673.2600,8.7780,22.0144,76.5668,11485.1760,9.4596,0.6264,4.5257,91,ema_cross,"ema_crossover(fast=8,slow=89,adx_min=25)",1.0000,7.3808,5,0.9283,0.2486,0.2000,0.1473,0.1500,0.0542,0.0975,0.0307,0.0000,-1.0000,0.0000
4h,2020-11-17,2026-05-09,12000,16573.5800,80673.2600,10.9515,29.9737,266.8640,10467.8236,6.1436,0.6984,6.2350,63,ema_cross,"ema_crossover(fast=13,slow=144,adx_min=20)",1.0000,5.0821,5,0.9270,0.2497,0.2000,0.1497,0.1500,0.0397,0.0992,0.0387,0.0000,-1.0000,0.0000
4h,2020-11-17,2026-05-09,12000,16573.5800,80673.2600,8.3150,14.7737,43.6563,92517.5259,9.0145,0.8011,8.8042,367,bb_mean_revert,"rsi_bb_mr(rsi_period=14,rsi_low=25,rsi_high=80,bb_period=20,bb_std=2)",0.5556,1.8611,9,0.9267,0.2481,0.1999,0.1500,0.0833,0.0985,0.0969,0.0500,0.0000,-1.0000,0.0000
4h,2020-11-17,2026-05-09,12000,16573.5800,80673.2600,6.6101,14.8792,24.3463,11861.3208,8.9615,0.5858,3.2115,169,ema_cross,"ema_crossover(fast=8,slow=55,adx_min=15)",1.0000,5.8216,6,0.9261,0.2440,0.1970,0.1351,0.1500,0.0810,0.0929,0.0262,0.0000,-1.0000,0.0000
4h,2020-11-17,2026-05-09,12000,16573.5800,80673.2600,6.1153,9.4892,77.7666,15979.4383,18.9992,0.7701,3.9655,87,bb_mean_revert,"rsi_bb_mr(rsi_period=21,rsi_low=30,rsi_high=80,bb_period=20,bb_std=2.5)",1.0000,5.4189,6,0.9260,0.2417,0.2000,0.1444,0.1500,0.0523,0.0910,0.0467,0.0000,-1.0000,0.0000
