fold,parameters,train_date_from,train_date_to,train_bars,train_price_start,train_price_end,train_sharpe,train_sortino,train_calmar,train_return,train_maxdd,train_trades,train_win_rate,train_profit_factor,train_pnl,train_net_pnl,train_fees,test_date_from,test_date_to,test_bars,test_price_start,test_price_end,test_sharpe,test_sortino,test_calmar,test_return,test_maxdd,test_trades,test_win_rate,test_profit_factor,test_pnl,test_net_pnl,test_fees,degradation,passed,skipped,skip_reason
0,"bollinger_breakout(bb_period=30,bb_std=2.5,vol_mult=1.5)",2020-11-17,2021-08-23,1680,16573.5800,49488.8500,-1.6123,-2.2218,-2.7940,-5.4858,15.5196,25,0.4400,0.7971,-530.9837,-548.5837,17.6000,2021-08-28,2021-12-21,696,48852.9900,48889.8800,-21.5914,-12.7898,-9.0012,-10.8071,10.8068,8,0.0000,0.0000,-1074.7086,-1080.7086,6.0000,0.0000,0,0,""
1,"bollinger_breakout(bb_period=30,bb_std=2.5,vol_mult=1.5)",2021-12-22,2022-09-27,1680,49249.0000,19079.1300,6.9170,14.9711,64.6140,13.5099,5.5439,21,0.7143,3.1923,1369.7851,1350.9851,18.8000,2022-10-02,2023-01-25,696,19310.8300,23060.9400,-19.4086,-12.2878,-7.7296,-12.5198,12.4887,10,0.0000,0.0000,-1241.9772,-1251.9772,10.0000,-2.8059,0,0,""
2,"bollinger_breakout(bb_period=30,bb_std=2.5,vol_mult=1.5)",2023-01-26,2023-11-01,1680,23136.1600,35421.4300,-9.5685,-9.1631,-6.5439,-8.2647,8.2200,28,0.1071,0.2097,-804.8731,-826.4731,21.6000,2023-11-06,2024-02-29,696,34978.3800,61130.9800,-21.5302,-12.7975,-8.3711,-9.8718,9.8557,15,0.1333,0.0243,-974.7788,-987.1788,12.4000,0.0000,0,0,""
3,"bollinger_breakout(bb_period=30,bb_std=2.5,vol_mult=1.5)",2024-03-01,2024-12-05,1680,61105.9100,96945.6300,-16.8009,-11.5386,-2.0623,-48.2995,48.2603,31,0.0323,0.0008,-4803.1528,-4829.9528,26.8000,2024-12-10,2025-04-04,696,96931.9900,83889.8700,-0.2840,-0.3693,-1.4141,-0.1331,2.5611,8,0.6250,0.9791,-5.3055,-13.3055,8.0000,0.0000,0,0,""
4,"bollinger_breakout(bb_period=30,bb_std=2.5,vol_mult=1.5)",2025-04-05,2026-01-09,1680,83624.0100,90641.2800,-7.5181,-7.1205,-4.6141,-12.4960,16.6452,23,0.3913,0.2922,-1229.5998,-1249.5998,20.0000,2026-01-14,2026-05-09,696,95720.9900,80673.2600,13.3862,25.8517,244.5210,2.3719,0.5552,7,0.8571,5.3759,246.7873,237.1873,9.6000,0.0000,0,0,""
0,"rsi_bb_mr(rsi_period=21,rsi_low=30,rsi_high=80,bb_period=15,bb_std=2)",2020-11-17,2021-08-23,1680,16573.5800,49488.8500,15.2570,90.4782,1138.0548,22.7860,1.2630,19,0.7895,12.4035,2300.6005,2278.6005,22.0000,2021-08-28,2021-12-21,696,48852.9900,48889.8800,76.9296,0.0000,0.0000,8.8584,0.0000,4,1.0000,0.0000,894.6407,885.8407,8.8000,5.0422,0,1,"IS trades=19 < 20"
1,"rsi_bb_mr(rsi_period=21,rsi_low=30,rsi_high=80,bb_period=15,bb_std=2)",2021-12-22,2022-09-27,1680,49249.0000,19079.1300,-4.0312,-4.3964,-7.2718,-4.6702,9.3500,10,0.6000,0.5583,-433.8173,-467.0173,33.2000,2022-10-02,2023-01-25,696,19310.8300,23060.9400,19.2143,502.9245,11102.2414,7.2817,0.0745,8,0.8750,103.7119,738.5674,728.1674,10.4000,0.0000,0,1,"IS trades=10 < 20"
2,"rsi_bb_mr(rsi_period=21,rsi_low=30,rsi_high=80,bb_period=15,bb_std=2)",2023-01-26,2023-11-01,1680,23136.1600,35421.4300,25.6348,0.0000,0.0000,46.3333,0.0000,36,1.0000,0.0000,4667.7321,4633.3321,34.4000,2023-11-06,2024-02-29,696,34978.3800,61130.9800,22.2038,0.0000,0.0000,21.1351,0.0000,16,1.0000,0.0000,2127.1059,2113.5059,13.6000,0.8662,1,0,""
3,"rsi_bb_mr(rsi_period=21,rsi_low=30,rsi_high=80,bb_period=15,bb_std=2)",2024-03-01,2024-12-05,1680,61105.9100,96945.6300,25.4178,0.0000,0.0000,27.7557,0.0000,19,1.0000,0.0000,2802.7660,2775.5660,27.2000,2024-12-10,2025-04-04,696,96931.9900,83889.8700,16.7648,89.9446,846.8982,3.9063,0.3618,7,0.7143,12.1405,402.6319,390.6319,12.0000,0.6596,0,1,"IS trades=19 < 20"
4,"rsi_bb_mr(rsi_period=21,rsi_low=30,rsi_high=80,bb_period=15,bb_std=2)",2025-04-05,2026-01-09,1680,83624.0100,90641.2800,6.6340,14.1433,56.4973,3.8413,1.3790,17,0.7059,2.8094,408.1256,384.1256,24.0000,2026-01-14,2026-05-09,696,95720.9900,80673.2600,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,"IS trades=17 < 20"
0,"ema_crossover(fast=5,slow=34,adx_min=25)",2020-11-17,2021-08-23,1680,16573.5800,49488.8500,3.8147,9.0012,20.1067,10.0714,5.6183,32,0.4688,2.2388,1023.9372,1007.1372,16.8000,2021-08-28,2021-12-21,696,48852.9900,48889.8800,4.9781,14.6439,60.5251,2.1823,1.2007,10,0.4000,2.6165,224.6319,218.2319,6.4000,1.3050,1,0,""
1,"ema_crossover(fast=5,slow=34,adx_min=25)",2021-12-22,2022-09-27,1680,49249.0000,19079.1300,4.0759,10.2557,51.5569,5.7245,1.8460,21,0.5714,2.2298,588.8494,572.4494,16.4000,2022-10-02,2023-01-25,696,19310.8300,23060.9400,-4.9080,-5.5837,-38.3678,-0.4593,0.4474,6,0.1667,0.4514,-41.5261,-45.9261,4.4000,-1.2042,0,0,""
2,"ema_crossover(fast=5,slow=34,adx_min=25)",2023-01-26,2023-11-01,1680,23136.1600,35421.4300,5.8826,14.0422,34.7041,4.6388,1.7581,24,0.6667,3.2977,481.4782,463.8782,17.6000,2023-11-06,2024-02-29,696,34978.3800,61130.9800,-1.7291,-3.1778,-11.3139,-0.4100,0.8372,10,0.2000,0.7462,-32.9960,-40.9960,8.0000,-0.2939,0,0,""
3,"ema_crossover(fast=5,slow=34,adx_min=25)",2024-03-01,2024-12-05,1680,61105.9100,96945.6300,-6.2913,-6.0176,-5.6244,-11.3657,12.2506,26,0.2692,0.2255,-1117.3730,-1136.5730,19.2000,2024-12-10,2025-04-04,696,96931.9900,83889.8700,-1.6093,-2.0081,-10.3908,-0.3573,0.6816,12,0.5000,0.7955,-28.5274,-35.7274,7.2000,0.0000,0,0,""
4,"ema_crossover(fast=5,slow=34,adx_min=25)",2025-04-05,2026-01-09,1680,83624.0100,90641.2800,6.6622,25.5942,53.0361,4.4990,1.3981,20,0.5500,4.2061,463.1005,449.9005,13.2000,2026-01-14,2026-05-09,696,95720.9900,80673.2600,3.3647,18.0572,55.6402,1.7440,0.6071,15,0.4667,3.0354,182.0015,174.4015,7.6000,0.5050,1,0,""
0,"ema_crossover(fast=8,slow=34,adx_min=25)",2020-11-17,2021-08-23,1680,16573.5800,49488.8500,4.6850,8.9648,32.4058,13.2023,7.1803,26,0.5769,2.3742,1336.6266,1320.2266,16.4000,2021-08-28,2021-12-21,696,48852.9900,48889.8800,2.8652,5.6682,32.0664,1.2938,1.3617,9,0.4444,1.6068,135.7811,129.3811,6.4000,0.6116,1,0,""
1,"ema_crossover(fast=8,slow=34,adx_min=25)",2021-12-22,2022-09-27,1680,49249.0000,19079.1300,-1.8557,-2.9354,-6.6801,-1.7757,2.6526,23,0.4348,0.7289,-161.1684,-177.5684,16.4000,2022-10-02,2023-01-25,696,19310.8300,23060.9400,-7.4646,-7.2194,-30.8603,-0.6614,0.6777,7,0.2857,0.2868,-60.9372,-66.1372,5.2000,0.0000,0,0,""
2,"ema_crossover(fast=8,slow=34,adx_min=25)",2023-01-26,2023-11-01,1680,23136.1600,35421.4300,6.3244,17.7560,34.1803,4.3331,1.9449,21,0.5714,3.1722,448.9102,433.3102,15.6000,2023-11-06,2024-02-29,696,34978.3800,61130.9800,-25.2173,-13.4834,-18.8030,-2.2587,2.3223,10,0.1000,0.0321,-218.6660,-225.8660,7.2000,-3.9873,0,0,""
3,"ema_crossover(fast=8,slow=34,adx_min=25)",2024-03-01,2024-12-05,1680,61105.9100,96945.6300,-5.4519,-5.4520,-7.1457,-4.7712,5.2761,26,0.3077,0.2994,-461.5152,-477.1152,15.6000,2024-12-10,2025-04-04,696,96931.9900,83889.8700,-1.4840,-1.9244,-10.8528,-0.2408,0.5253,10,0.5000,0.8198,-17.6755,-24.0755,6.4000,0.0000,0,0,""
4,"ema_crossover(fast=8,slow=34,adx_min=25)",2025-04-05,2026-01-09,1680,83624.0100,90641.2800,-0.9616,-1.5516,-2.9733,-0.5172,2.3545,18,0.3889,0.8625,-39.7228,-51.7228,12.0000,2026-01-14,2026-05-09,696,95720.9900,80673.2600,3.6669,21.4475,62.0985,1.5635,0.6242,12,0.4167,3.2492,162.7460,156.3460,6.4000,0.0000,0,1,"IS trades=18 < 20"
0,"ema_crossover(fast=13,slow=21,adx_min=25)",2020-11-17,2021-08-23,1680,16573.5800,49488.8500,4.9359,9.0219,41.1722,13.2252,7.0477,23,0.5652,2.4289,1337.7186,1322.5186,15.2000,2021-08-28,2021-12-21,696,48852.9900,48889.8800,2.3422,4.8142,20.7951,1.1139,1.5556,10,0.4000,1.4737,117.3932,111.3932,6.0000,0.4745,1,0,""
1,"ema_crossover(fast=13,slow=21,adx_min=25)",2021-12-22,2022-09-27,1680,49249.0000,19079.1300,-3.0068,-3.4216,-7.7152,-3.7919,4.6266,22,0.4091,0.5326,-363.5888,-379.1888,15.6000,2022-10-02,2023-01-25,696,19310.8300,23060.9400,-9.2644,-8.5726,-28.0018,-0.8014,0.7857,8,0.1250,0.2155,-74.5367,-80.1367,5.6000,0.0000,0,0,""
2,"ema_crossover(fast=13,slow=21,adx_min=25)",2023-01-26,2023-11-01,1680,23136.1600,35421.4300,9.3121,45.0811,134.6736,5.7533,0.8827,18,0.5556,6.7490,589.3329,575.3329,14.0000,2023-11-06,2024-02-29,696,34978.3800,61130.9800,-1.5499,-2.8350,-10.7250,-0.3801,0.7634,11,0.2727,0.7605,-31.6059,-38.0059,6.4000,-0.1664,0,1,"IS trades=18 < 20"
3,"ema_crossover(fast=13,slow=21,adx_min=25)",2024-03-01,2024-12-05,1680,61105.9100,96945.6300,-3.6874,-3.9720,-6.0056,-3.5031,5.7950,21,0.4286,0.5207,-336.7136,-350.3136,13.6000,2024-12-10,2025-04-04,696,96931.9900,83889.8700,4.5592,10.3717,48.0354,0.4847,0.2767,10,0.4000,2.6806,55.2657,48.4657,6.8000,0.0000,0,0,""
4,"ema_crossover(fast=13,slow=21,adx_min=25)",2025-04-05,2026-01-09,1680,83624.0100,90641.2800,-1.5424,-2.1086,-3.8021,-1.0767,3.4578,19,0.3684,0.7744,-94.4705,-107.6705,13.2000,2026-01-14,2026-05-09,696,95720.9900,80673.2600,-25.3464,-13.4591,-20.3623,-2.4809,2.4799,9,0.1111,0.0146,-240.8885,-248.0885,7.2000,0.0000,0,1,"IS trades=19 < 20"
0,"ema_crossover(fast=5,slow=89,adx_min=20)",2020-11-17,2021-08-23,1680,16573.5800,49488.8500,3.9240,16.8474,23.7245,8.2001,4.5830,27,0.3704,2.5563,836.8062,820.0062,16.8000,2021-08-28,2021-12-21,696,48852.9900,48889.8800,6.7932,26.5617,345.5301,2.1670,0.5636,5,0.6000,4.4449,219.9047,216.7047,3.2000,1.7312,1,0,""
1,"ema_crossover(fast=5,slow=89,adx_min=20)",2021-12-22,2022-09-27,1680,49249.0000,19079.1300,-8.5740,-7.8903,-7.3064,-6.6988,6.6934,26,0.1538,0.1442,-657.0768,-669.8768,12.8000,2022-10-02,2023-01-25,696,19310.8300,23060.9400,-6.0104,-6.3229,-33.8994,-0.2951,0.2940,7,0.2857,0.3668,-25.9104,-29.5104,3.6000,0.0000,0,0,""
2,"ema_crossover(fast=5,slow=89,adx_min=20)",2023-01-26,2023-11-01,1680,23136.1600,35421.4300,5.4705,15.4131,67.9607,2.4923,1.1223,11,0.4545,2.8911,259.2257,249.2257,10.0000,2023-11-06,2024-02-29,696,34978.3800,61130.9800,2.3037,7.1713,27.3658,0.2704,0.5414,5,0.2000,1.6121,31.4365,27.0365,4.4000,0.4211,0,1,"IS trades=11 < 20"
3,"ema_crossover(fast=5,slow=89,adx_min=20)",2024-03-01,2024-12-05,1680,61105.9100,96945.6300,-0.0238,-0.0406,-0.1012,-0.0368,2.1636,33,0.3636,1.0358,11.5246,-3.6754,15.2000,2024-12-10,2025-04-04,696,96931.9900,83889.8700,-10.2843,-8.8640,-13.3261,-2.3202,2.3153,16,0.3125,0.1086,-224.4185,-232.0185,7.6000,0.0000,0,0,""
4,"ema_crossover(fast=5,slow=89,adx_min=20)",2025-04-05,2026-01-09,1680,83624.0100,90641.2800,4.4292,23.2956,53.5130,3.2173,0.7399,24,0.4583,3.5165,336.5272,321.7272,14.8000,2026-01-14,2026-05-09,696,95720.9900,80673.2600,2.5320,6.4577,30.5156,0.4349,0.4849,8,0.3750,1.7534,47.8877,43.4877,4.4000,0.5717,1,0,""
0,"ema_crossover(fast=13,slow=55,adx_min=20)",2020-11-17,2021-08-23,1680,16573.5800,49488.8500,2.8113,9.5693,27.0522,6.1904,2.7796,27,0.3333,1.8374,637.0443,619.0443,18.0000,2021-08-28,2021-12-21,696,48852.9900,48889.8800,-0.2922,-0.5425,-2.4101,-0.1955,1.7833,11,0.2727,0.9525,-13.5526,-19.5526,6.0000,-0.1039,0,0,""
1,"ema_crossover(fast=13,slow=55,adx_min=20)",2021-12-22,2022-09-27,1680,49249.0000,19079.1300,-7.6876,-7.3251,-8.8632,-5.7265,5.7127,21,0.1905,0.2115,-561.4499,-572.6499,11.2000,2022-10-02,2023-01-25,696,19310.8300,23060.9400,-5.7217,-5.9430,-30.3700,-0.2448,0.2408,8,0.2500,0.3598,-20.8753,-24.4753,3.6000,0.0000,0,0,""
2,"ema_crossover(fast=13,slow=55,adx_min=20)",2023-01-26,2023-11-01,1680,23136.1600,35421.4300,-5.6287,-5.9146,-13.2353,-1.3682,1.3924,17,0.2941,0.4157,-126.0205,-136.8205,10.8000,2023-11-06,2024-02-29,696,34978.3800,61130.9800,2.0363,4.8478,26.0757,0.2494,0.6633,4,0.2500,1.4424,28.5441,24.9441,3.6000,0.0000,0,1,"IS trades=17 < 20"
3,"ema_crossover(fast=13,slow=55,adx_min=20)",2024-03-01,2024-12-05,1680,61105.9100,96945.6300,1.0047,2.6570,3.3075,1.0205,3.4451,24,0.2917,1.2610,116.8539,102.0539,14.8000,2024-12-10,2025-04-04,696,96931.9900,83889.8700,-3.8089,-4.3770,-17.5302,-0.8062,0.9609,11,0.3636,0.5511,-73.8203,-80.6203,6.8000,-3.7912,0,0,""
