sharpe_ratio,sortino_ratio,calmar_ratio,total_return,max_drawdown_pct,win_rate,profit_factor,total_trades,parameters,plateau_ratio,avg_neighbor_sharpe,neighbor_count,composite_score,cc_sharpe,cc_calmar,cc_profit_factor,cc_plateau,cc_trades,cc_cost_stress,cc_win_rate,cc_dd_penalty,wfo_pass_rate,wfo_avg_test_sharpe
12.9192,38.1940,77.0875,34911.3144,3.8181,0.8509,16.2656,275,"rsi_bb_mr(rsi_period=7,rsi_low=30,rsi_high=70,bb_period=20,bb_std=1.5)",1.0000,12.1058,6,0.9946,0.2499,0.2000,0.1500,0.1500,0.0950,0.0997,0.0500,0.0000,1.0000,48.4228
10.5195,29.9252,51.0621,28140.4907,4.8373,0.8444,13.0902,270,"rsi_bb_mr(rsi_period=7,rsi_low=30,rsi_high=70,bb_period=15,bb_std=1.5)",1.0000,11.5696,5,0.9932,0.2496,0.2000,0.1500,0.1500,0.0947,0.0990,0.0500,0.0000,1.0000,27.0303
14.5269,65.1242,246.2883,39732.1200,1.8200,0.9198,37.4974,237,"rsi_bb_mr(rsi_period=7,rsi_low=30,rsi_high=70,bb_period=30,bb_std=1.5)",1.0000,13.9398,5,0.9917,0.2500,0.2000,0.1500,0.1500,0.0919,0.0999,0.0500,0.0000,1.0000,62.6318
11.7700,28.9511,47.6591,24681.9628,5.1385,0.7738,8.0359,252,"rsi_bb_mr(rsi_period=7,rsi_low=30,rsi_high=75,bb_period=15,bb_std=1.5)",1.0000,9.9685,6,0.9896,0.2498,0.2000,0.1500,0.1500,0.0933,0.0994,0.0471,0.0000,1.0000,30.1972
11.8953,28.9241,46.1866,25840.3018,6.0744,0.7792,7.5966,240,"rsi_bb_mr(rsi_period=7,rsi_low=30,rsi_high=75,bb_period=20,bb_std=1.5)",1.0000,11.8583,7,0.9891,0.2498,0.2000,0.1500,0.1500,0.0922,0.0995,0.0477,0.0000,1.0000,51.5278
16.6332,60.5561,199.4654,31540.9579,2.2105,0.8632,23.9039,212,"rsi_bb_mr(rsi_period=7,rsi_low=30,rsi_high=75,bb_period=30,bb_std=1.5)",1.0000,13.1033,6,0.9888,0.2500,0.2000,0.1500,0.1500,0.0888,0.1000,0.0500,0.0000,1.0000,62.6318
11.2665,34.8888,68.6326,21931.2115,4.4135,0.8278,12.5546,209,"rsi_bb_mr(rsi_period=7,rsi_low=25,rsi_high=75,bb_period=20,bb_std=1.5)",1.0000,11.1319,8,0.9874,0.2497,0.2000,0.1500,0.1500,0.0884,0.0993,0.0500,0.0000,1.0000,58.6845
10.5399,32.0999,57.3658,20091.5089,4.7509,0.8333,11.6507,210,"rsi_bb_mr(rsi_period=7,rsi_low=25,rsi_high=75,bb_period=15,bb_std=1.5)",1.0000,10.6956,7,0.9871,0.2496,0.2000,0.1500,0.1500,0.0885,0.0990,0.0500,0.0000,1.0000,31.5659
14.9755,60.1917,201.8597,29733.0977,2.5187,0.8802,25.2399,192,"rsi_bb_mr(rsi_period=14,rsi_low=30,rsi_high=70,bb_period=20,bb_std=1.5)",1.0000,14.1117,7,0.9855,0.2500,0.2000,0.1500,0.1500,0.0856,0.0999,0.0500,0.0000,1.0000,68.7368
15.3921,89.4854,414.3639,31289.2373,1.4512,0.9180,46.9674,183,"rsi_bb_mr(rsi_period=14,rsi_low=30,rsi_high=70,bb_period=30,bb_std=1.5)",1.0000,15.1356,6,0.9839,0.2500,0.2000,0.1500,0.1500,0.0840,0.0999,0.0500,0.0000,1.0000,108.8038
