timeframe,date_from,date_to,bars_count,price_start,price_end,sharpe_ratio,sortino_ratio,calmar_ratio,total_return,max_drawdown_pct,win_rate,profit_factor,total_trades,exit_mode,parameters,plateau_ratio,avg_neighbor_sharpe,neighbor_count,composite_score,cc_sharpe,cc_calmar,cc_profit_factor,cc_plateau,cc_trades,cc_cost_stress,cc_win_rate,cc_dd_penalty,wfo_pass_rate,wfo_avg_test_sharpe
4h,2024-05-09,2026-05-09,4383,62159.0600,80673.2600,34.0134,106.5318,833.7242,18692.6980,9.4561,0.8096,6.3701,520,bb_mean_revert,"rsi_bb_mr(rsi_period=7,rsi_low=30,rsi_high=75,bb_period=15,bb_std=1.5)",1.0000,25.4451,6,0.9996,0.2500,0.2000,0.1498,0.1500,0.0998,0.1000,0.0500,0.0000,0.6000,25.2743
4h,2024-05-09,2026-05-09,4383,62159.0600,80673.2600,35.3755,238.9883,115267.2457,15473.1469,1.3176,0.8375,16.8837,277,bb_mean_revert,"rsi_bb_mr(rsi_period=7,rsi_low=30,rsi_high=75,bb_period=15,bb_std=2)",1.0000,30.5437,7,0.9951,0.2500,0.2000,0.1500,0.1500,0.0951,0.1000,0.0500,0.0000,0.7500,46.2831
4h,2024-05-09,2026-05-09,4383,62159.0600,80673.2600,39.0378,234.8849,182962.7792,17592.3558,1.8722,0.8229,16.2194,271,bb_mean_revert,"rsi_bb_mr(rsi_period=7,rsi_low=30,rsi_high=70,bb_period=15,bb_std=2)",1.0000,29.4148,6,0.9947,0.2500,0.2000,0.1500,0.1500,0.0947,0.1000,0.0500,0.0000,0.7500,47.7659
4h,2024-05-09,2026-05-09,4383,62159.0600,80673.2600,37.4732,142.3848,12156.3096,11914.3641,4.8529,0.8120,8.6770,266,bb_mean_revert,"rsi_bb_mr(rsi_period=7,rsi_low=30,rsi_high=80,bb_period=20,bb_std=2)",1.0000,28.5318,7,0.9944,0.2500,0.2000,0.1500,0.1500,0.0944,0.1000,0.0500,0.0000,1.0000,101.2412
4h,2024-05-09,2026-05-09,4383,62159.0600,80673.2600,34.9632,110.8979,36942.0178,13919.4360,3.5885,0.8061,8.2829,263,bb_mean_revert,"rsi_bb_mr(rsi_period=7,rsi_low=25,rsi_high=80,bb_period=20,bb_std=2)",1.0000,27.5651,8,0.9942,0.2500,0.2000,0.1500,0.1500,0.0942,0.1000,0.0500,0.0000,1.0000,111.8372
4h,2024-05-09,2026-05-09,4383,62159.0600,80673.2600,39.1670,195.3662,171155.8104,17729.9766,3.0545,0.8069,13.2891,259,bb_mean_revert,"rsi_bb_mr(rsi_period=7,rsi_low=25,rsi_high=75,bb_period=15,bb_std=2)",1.0000,26.9438,8,0.9939,0.2500,0.2000,0.1500,0.1500,0.0939,0.1000,0.0500,0.0000,0.6667,48.6002
4h,2024-05-09,2026-05-09,4383,62159.0600,80673.2600,44.7281,333.2871,1007693.5275,15915.4355,0.9849,0.8622,27.5461,225,bb_mean_revert,"rsi_bb_mr(rsi_period=7,rsi_low=20,rsi_high=80,bb_period=15,bb_std=2)",1.0000,28.6500,6,0.9905,0.2500,0.2000,0.1500,0.1500,0.0905,0.1000,0.0500,0.0000,1.0000,72.8333
4h,2024-05-09,2026-05-09,4383,62159.0600,80673.2600,43.8482,296.4026,545828.7848,14445.4251,1.0251,0.8311,21.6913,225,bb_mean_revert,"rsi_bb_mr(rsi_period=14,rsi_low=30,rsi_high=70,bb_period=15,bb_std=2)",1.0000,24.7138,7,0.9905,0.2500,0.2000,0.1500,0.1500,0.0905,0.1000,0.0500,0.0000,1.0000,67.0191
4h,2024-05-09,2026-05-09,4383,62159.0600,80673.2600,26.6524,72.5897,32631.5313,17223.0214,7.8856,0.7509,5.5753,277,bb_mean_revert,"rsi_bb_mr(rsi_period=7,rsi_low=30,rsi_high=75,bb_period=20,bb_std=2)",1.0000,26.0283,8,0.9890,0.2500,0.2000,0.1493,0.1500,0.0951,0.1000,0.0445,0.0000,0.7500,82.5418
4h,2024-05-09,2026-05-09,4383,62159.0600,80673.2600,29.6314,78.5350,1305.3908,13528.2169,8.4019,0.7321,4.2143,392,bb_mean_revert,"rsi_bb_mr(rsi_period=7,rsi_low=25,rsi_high=80,bb_period=20,bb_std=1.5)",1.0000,24.1197,7,0.9873,0.2500,0.2000,0.1459,0.1500,0.0989,0.1000,0.0425,0.0000,0.6000,62.6283
4h,2024-05-09,2026-05-09,4383,62159.0600,80673.2600,22.8931,54.9663,9295.4277,22993.0528,10.0842,0.6939,4.5807,379,bb_mean_revert,"rsi_bb_mr(rsi_period=14,rsi_low=30,rsi_high=70,bb_period=15,bb_std=1.5)",1.0000,22.4348,6,0.9844,0.2500,0.2000,0.1475,0.1500,0.0987,0.1000,0.0382,0.0000,0.7500,81.9689
