fold,parameters,train_date_from,train_date_to,train_bars,train_price_start,train_price_end,train_sharpe,train_sortino,train_calmar,train_return,train_maxdd,train_trades,train_win_rate,train_profit_factor,train_pnl,train_net_pnl,train_fees,test_date_from,test_date_to,test_bars,test_price_start,test_price_end,test_sharpe,test_sortino,test_calmar,test_return,test_maxdd,test_trades,test_win_rate,test_profit_factor,test_pnl,test_net_pnl,test_fees,degradation,passed,skipped,skip_reason
0,"rsi_bb_mr(rsi_period=7,rsi_low=30,rsi_high=75,bb_period=15,bb_std=1.5)",2024-05-09,2024-08-19,613,62159.0600,58539.2400,50.3767,260.5904,78230.8899,22.2394,1.0165,66,0.8485,20.5966,2280.3386,2223.9386,56.4000,2024-08-23,2024-10-02,239,63628.8400,61164.0100,47.8858,158.8499,798153.9375,10.9576,1.1755,25,0.8000,9.8592,1120.1569,1095.7569,24.4000,0.9506,1,0,""
1,"rsi_bb_mr(rsi_period=7,rsi_low=30,rsi_high=75,bb_period=15,bb_std=1.5)",2024-10-02,2025-01-12,613,61874.0100,95071.9000,-47.8476,-33.6362,-2.4957,-38.9866,40.0689,59,0.2373,0.0694,-3838.2573,-3898.6573,60.4000,2025-01-16,2025-02-25,239,100417.2000,89239.3900,36.6590,218.4649,11945.4103,2.5665,0.2926,16,0.6250,11.9846,277.0456,256.6456,20.4000,0.0000,0,0,""
2,"rsi_bb_mr(rsi_period=7,rsi_low=30,rsi_high=75,bb_period=15,bb_std=1.5)",2025-02-25,2025-06-07,613,87231.2600,105558.1100,32.6759,117.1273,20905.1478,18.5656,3.0045,58,0.7241,6.2885,1904.9649,1856.5649,48.4000,2025-06-11,2025-07-21,239,108742.3700,118070.1700,52.9929,422.2076,86328.2213,4.1821,0.1767,18,0.8333,28.1161,435.4130,418.2130,17.2000,1.6218,1,0,""
3,"rsi_bb_mr(rsi_period=7,rsi_low=30,rsi_high=75,bb_period=15,bb_std=1.5)",2025-07-21,2025-10-31,613,118313.1600,110202.9000,47.9288,336.9308,35476.7953,18.9997,0.3956,77,0.8571,31.8896,1959.9658,1899.9658,60.0000,2025-11-04,2025-12-14,239,100542.6400,89360.0000,30.6308,70.6626,6606.2236,4.1101,1.0678,21,0.7619,5.0465,433.8080,411.0081,22.8000,0.6391,1,0,""
4,"rsi_bb_mr(rsi_period=7,rsi_low=30,rsi_high=75,bb_period=15,bb_std=1.5)",2025-12-14,2026-03-26,613,89022.9100,69082.6400,31.0685,78.3206,4262.3641,13.4041,2.3732,60,0.7667,5.6036,1397.2106,1340.4106,56.8000,2026-03-30,2026-05-09,239,66550.0500,80345.4600,-41.7972,-31.8929,-47.1432,-1.9443,2.0320,13,0.2308,0.1005,-176.8300,-194.4300,17.6000,-1.3453,0,0,""
0,"rsi_bb_mr(rsi_period=7,rsi_low=30,rsi_high=75,bb_period=15,bb_std=2)",2024-05-09,2024-08-19,613,62159.0600,58539.2400,40.3356,178.6222,428349.2121,12.8580,1.2410,31,0.7742,10.7746,1315.4040,1285.8040,29.6000,2024-08-23,2024-10-02,239,63628.8400,61164.0100,17.6149,38.7074,4004.7846,1.7042,1.0975,10,0.7000,2.6773,183.2185,170.4185,12.8000,0.4367,1,0,""
1,"rsi_bb_mr(rsi_period=7,rsi_low=30,rsi_high=75,bb_period=15,bb_std=2)",2024-10-02,2025-01-12,613,61874.0100,95071.9000,-57.1467,-36.4410,-4.1864,-23.0314,23.8868,24,0.1250,0.0555,-2270.7356,-2303.1356,32.4000,2025-01-16,2025-02-25,239,100417.2000,89239.3900,37.6414,193.9445,37912.9951,0.8290,0.1184,5,0.6000,9.8709,91.6972,82.8972,8.8000,0.0000,0,0,""
2,"rsi_bb_mr(rsi_period=7,rsi_low=30,rsi_high=75,bb_period=15,bb_std=2)",2025-02-25,2025-06-07,613,87231.2600,105558.1100,21.1461,45.9728,6380.6376,7.6772,3.5312,30,0.7333,3.0414,792.1232,767.7232,24.4000,2025-06-11,2025-07-21,239,108742.3700,118070.1700,36.9234,120.4470,300037.6685,1.8148,0.2963,6,0.8333,7.5337,192.6825,181.4825,11.2000,1.7461,1,0,""
3,"rsi_bb_mr(rsi_period=7,rsi_low=30,rsi_high=75,bb_period=15,bb_std=2)",2025-07-21,2025-10-31,613,118313.1600,110202.9000,42.0014,123.0997,9516.6918,8.9059,0.6574,45,0.9111,14.3030,924.5875,890.5875,34.0000,2025-11-04,2025-12-14,239,100542.6400,89360.0000,92.9525,0.0000,0.0000,5.0513,0.0000,11,1.0000,0.0000,517.5310,505.1310,12.4000,2.2131,1,0,""
4,"rsi_bb_mr(rsi_period=7,rsi_low=30,rsi_high=75,bb_period=15,bb_std=2)",2025-12-14,2026-03-26,613,89022.9100,69082.6400,47.1600,226.6758,209109.6766,12.2567,0.5456,36,0.8056,14.5049,1253.6737,1225.6737,28.0000,2026-03-30,2026-05-09,239,66550.0500,80345.4600,-91.5024,-41.6646,-151.2813,-0.7168,0.6606,2,0.0000,0.0000,-64.4812,-71.6812,7.2000,-1.9403,0,1,"OOS trades=2 < 5"
0,"rsi_bb_mr(rsi_period=7,rsi_low=30,rsi_high=70,bb_period=15,bb_std=2)",2024-05-09,2024-08-19,613,62159.0600,58539.2400,42.7470,193.3467,723870.3114,14.1444,1.2170,32,0.7812,11.8253,1444.4423,1414.4424,30.0000,2024-08-23,2024-10-02,239,63628.8400,61164.0100,17.6149,38.7074,4004.7846,1.7042,1.0975,10,0.7000,2.6773,183.2185,170.4185,12.8000,0.4121,1,0,""
1,"rsi_bb_mr(rsi_period=7,rsi_low=30,rsi_high=70,bb_period=15,bb_std=2)",2024-10-02,2025-01-12,613,61874.0100,95071.9000,-56.8756,-36.3788,-4.2486,-22.6811,23.5373,24,0.1250,0.0563,-2235.3130,-2268.1130,32.8000,2025-01-16,2025-02-25,239,100417.2000,89239.3900,42.2683,349.6154,135931.2820,1.5837,0.1130,7,0.7143,17.9979,167.9669,158.3669,9.6000,0.0000,0,0,""
2,"rsi_bb_mr(rsi_period=7,rsi_low=30,rsi_high=70,bb_period=15,bb_std=2)",2025-02-25,2025-06-07,613,87231.2600,105558.1100,22.3652,50.2682,8533.2436,7.9774,3.2553,30,0.7333,3.3039,822.9439,797.7439,25.2000,2025-06-11,2025-07-21,239,108742.3700,118070.1700,36.9234,120.4470,300037.6685,1.8108,0.2963,6,0.8333,7.5337,192.6825,181.0825,11.6000,1.6509,1,0,""
3,"rsi_bb_mr(rsi_period=7,rsi_low=30,rsi_high=70,bb_period=15,bb_std=2)",2025-07-21,2025-10-31,613,118313.1600,110202.9000,41.8339,113.0377,9540.8514,9.3121,0.7895,45,0.8889,11.7809,965.6095,931.2095,34.4000,2025-11-04,2025-12-14,239,100542.6400,89360.0000,94.2570,0.0000,0.0000,5.4134,0.0000,12,1.0000,0.0000,554.1381,541.3381,12.8000,2.2531,1,0,""
4,"rsi_bb_mr(rsi_period=7,rsi_low=30,rsi_high=70,bb_period=15,bb_std=2)",2025-12-14,2026-03-26,613,89022.9100,69082.6400,46.0219,350.2555,656167.3154,14.5552,0.3848,38,0.8158,22.2239,1484.3224,1455.5224,28.8000,2026-03-30,2026-05-09,239,66550.0500,80345.4600,-93.1388,-41.8159,-154.0472,-0.7089,0.6486,2,0.0000,0.0000,-63.2883,-70.8883,7.6000,-2.0238,0,1,"OOS trades=2 < 5"
0,"rsi_bb_mr(rsi_period=7,rsi_low=30,rsi_high=80,bb_period=20,bb_std=2)",2024-05-09,2024-08-19,613,62159.0600,58539.2400,49.7565,343.9743,824802.2236,14.1079,0.6076,34,0.8235,23.3091,1440.7911,1410.7911,30.0000,2024-08-23,2024-10-02,239,63628.8400,61164.0100,27.1664,68.1219,36769.8628,2.2736,0.7301,9,0.7778,4.2806,239.7612,227.3612,12.4000,0.5460,1,0,""
1,"rsi_bb_mr(rsi_period=7,rsi_low=30,rsi_high=80,bb_period=20,bb_std=2)",2024-10-02,2025-01-12,613,61874.0100,95071.9000,-59.9040,-37.1805,-3.6011,-26.6408,27.7696,27,0.2222,0.0648,-2634.0790,-2664.0790,30.0000,2025-01-16,2025-02-25,239,100417.2000,89239.3900,38.6855,208.6790,64790.2562,0.4698,0.0675,3,0.6667,10.1220,54.5794,46.9794,7.6000,0.0000,0,1,"OOS trades=3 < 5"
2,"rsi_bb_mr(rsi_period=7,rsi_low=30,rsi_high=80,bb_period=20,bb_std=2)",2025-02-25,2025-06-07,613,87231.2600,105558.1100,22.2564,49.0015,10317.9098,7.5068,3.5675,27,0.6667,2.9860,776.2802,750.6802,25.6000,2025-06-11,2025-07-21,239,108742.3700,118070.1700,165.2979,0.0000,0.0000,5.9923,0.0000,9,1.0000,0.0000,607.6297,599.2297,8.4000,7.4270,1,0,""
3,"rsi_bb_mr(rsi_period=7,rsi_low=30,rsi_high=80,bb_period=20,bb_std=2)",2025-07-21,2025-10-31,613,118313.1600,110202.9000,51.1988,660.1589,338140.6035,12.2984,0.1088,43,0.9302,81.6963,1261.4377,1229.8377,31.6000,2025-11-04,2025-12-14,239,100542.6400,89360.0000,111.2593,0.0000,0.0000,4.9452,0.0000,10,1.0000,0.0000,506.5218,494.5218,12.0000,2.1731,1,0,""
4,"rsi_bb_mr(rsi_period=7,rsi_low=30,rsi_high=80,bb_period=20,bb_std=2)",2025-12-14,2026-03-26,613,89022.9100,69082.6400,64.6920,665.0075,11617593.8166,16.9490,0.1586,35,0.9429,69.9187,1726.0993,1694.8993,31.2000,2026-03-30,2026-05-09,239,66550.0500,80345.4600,-581.3563,-46.6466,-93.3945,-1.1227,1.0703,3,0.0000,0.0000,-104.6730,-112.2730,7.6000,-8.9865,0,1,"OOS trades=3 < 5"
0,"rsi_bb_mr(rsi_period=7,rsi_low=25,rsi_high=80,bb_period=20,bb_std=2)",2024-05-09,2024-08-19,613,62159.0600,58539.2400,64.8414,493.8697,5866105.4923,16.8566,0.3933,34,0.8824,41.0666,1714.4592,1685.6592,28.8000,2024-08-23,2024-10-02,239,63628.8400,61164.0100,27.1664,68.1219,36769.8628,2.2736,0.7301,9,0.7778,4.2806,239.7612,227.3612,12.4000,0.4190,1,0,""
1,"rsi_bb_mr(rsi_period=7,rsi_low=25,rsi_high=80,bb_period=20,bb_std=2)",2024-10-02,2025-01-12,613,61874.0100,95071.9000,-59.0773,-37.0117,-3.9350,-24.2552,25.4132,24,0.2083,0.0675,-2396.7195,-2425.5195,28.8000,2025-01-16,2025-02-25,239,100417.2000,89239.3900,38.6855,208.6790,64790.2562,0.4698,0.0675,3,0.6667,10.1220,54.5794,46.9794,7.6000,0.0000,0,1,"OOS trades=3 < 5"
2,"rsi_bb_mr(rsi_period=7,rsi_low=25,rsi_high=80,bb_period=20,bb_std=2)",2025-02-25,2025-06-07,613,87231.2600,105558.1100,20.1906,43.0971,8056.7084,6.6235,3.5819,25,0.6800,2.7615,687.1521,662.3521,24.8000,2025-06-11,2025-07-21,239,108742.3700,118070.1700,182.0219,0.0000,0.0000,4.7214,0.0000,8,1.0000,0.0000,480.1366,472.1366,8.0000,9.0152,1,0,""
3,"rsi_bb_mr(rsi_period=7,rsi_low=25,rsi_high=80,bb_period=20,bb_std=2)",2025-07-21,2025-10-31,613,118313.1600,110202.9000,51.8612,578.3139,445952.4796,12.6455,0.1302,41,0.9512,68.8071,1295.7492,1264.5492,31.2000,2025-11-04,2025-12-14,239,100542.6400,89360.0000,126.3233,0.0000,0.0000,6.3132,0.0000,10,1.0000,0.0000,642.5183,631.3183,11.2000,2.4358,1,0,""
4,"rsi_bb_mr(rsi_period=7,rsi_low=25,rsi_high=80,bb_period=20,bb_std=2)",2025-12-14,2026-03-26,613,89022.9100,69082.6400,66.3782,942.5238,84619062.3242,18.7245,0.1071,33,0.9091,89.7175,1903.2452,1872.4452,30.8000,2026-03-30,2026-05-09,239,66550.0500,80345.4600,-581.3563,-46.6466,-93.3945,-1.1227,1.0703,3,0.0000,0.0000,-104.6730,-112.2730,7.6000,-8.7582,0,1,"OOS trades=3 < 5"
0,"rsi_bb_mr(rsi_period=7,rsi_low=25,rsi_high=75,bb_period=15,bb_std=2)",2024-05-09,2024-08-19,613,62159.0600,58539.2400,44.1474,198.2444,1000525.0866,14.0680,1.1230,31,0.8065,12.6338,1435.5984,1406.7984,28.8000,2024-08-23,2024-10-02,239,63628.8400,61164.0100,22.6479,56.5059,13006.5210,2.1748,0.9340,10,0.7000,3.4707,229.8792,217.4792,12.4000,0.5130,1,0,""
1,"rsi_bb_mr(rsi_period=7,rsi_low=25,rsi_high=75,bb_period=15,bb_std=2)",2024-10-02,2025-01-12,613,61874.0100,95071.9000,-53.2300,-35.4347,-4.9088,-19.4766,20.3715,22,0.1364,0.0651,-1916.0568,-1947.6568,31.6000,2025-01-16,2025-02-25,239,100417.2000,89239.3900,30.2003,99.9933,12901.3229,0.7310,0.2205,5,0.6000,4.9501,81.4971,73.0971,8.4000,0.0000,0,0,""
2,"rsi_bb_mr(rsi_period=7,rsi_low=25,rsi_high=75,bb_period=15,bb_std=2)",2025-02-25,2025-06-07,613,87231.2600,105558.1100,21.1461,45.9728,6380.6376,7.6772,3.5312,30,0.7333,3.0414,792.1232,767.7232,24.4000,2025-06-11,2025-07-21,239,108742.3700,118070.1700,61.4086,0.0000,0.0000,1.7652,0.0000,4,1.0000,0.0000,186.9200,176.5199,10.4000,2.9040,0,1,"OOS trades=4 < 5"
3,"rsi_bb_mr(rsi_period=7,rsi_low=25,rsi_high=75,bb_period=15,bb_std=2)",2025-07-21,2025-10-31,613,118313.1600,110202.9000,40.8715,100.3560,11754.5575,9.5845,1.0029,42,0.8810,9.6798,991.2468,958.4468,32.8000,2025-11-04,2025-12-14,239,100542.6400,89360.0000,92.9525,0.0000,0.0000,5.0513,0.0000,11,1.0000,0.0000,517.5310,505.1310,12.4000,2.2743,1,0,""
4,"rsi_bb_mr(rsi_period=7,rsi_low=25,rsi_high=75,bb_period=15,bb_std=2)",2025-12-14,2026-03-26,613,89022.9100,69082.6400,46.8431,339.8842,871855.4164,14.0263,0.4252,35,0.8000,20.8228,1430.2293,1402.6293,27.6000,2026-03-30,2026-05-09,239,66550.0500,80345.4600,-91.5024,-41.6646,-151.2813,-0.7168,0.6606,2,0.0000,0.0000,-64.4812,-71.6812,7.2000,-1.9534,0,1,"OOS trades=2 < 5"
0,"rsi_bb_mr(rsi_period=7,rsi_low=20,rsi_high=80,bb_period=15,bb_std=2)",2024-05-09,2024-08-19,613,62159.0600,58539.2400,50.3010,283.2659,9018122.0627,15.6623,0.6727,29,0.8621,22.3205,1591.8283,1566.2283,25.6000,2024-08-23,2024-10-02,239,63628.8400,61164.0100,34.8586,122.1386,256188.5503,2.5982,0.4878,8,0.7500,6.5779,270.2218,259.8219,10.4000,0.6930,1,0,""
1,"rsi_bb_mr(rsi_period=7,rsi_low=20,rsi_high=80,bb_period=15,bb_std=2)",2024-10-02,2025-01-12,613,61874.0100,95071.9000,-43.2504,-32.1394,-6.6102,-14.0952,15.1281,20,0.2000,0.0910,-1382.7182,-1409.5182,26.8000,2025-01-16,2025-02-25,239,100417.2000,89239.3900,58.8980,764.3155,800592.3043,0.9757,0.0309,4,0.7500,46.0715,104.3697,97.5697,6.8000,0.0000,0,1,"OOS trades=4 < 5"
2,"rsi_bb_mr(rsi_period=7,rsi_low=20,rsi_high=80,bb_period=15,bb_std=2)",2025-02-25,2025-06-07,613,87231.2600,105558.1100,38.6061,151.5605,843079.4924,12.7185,1.3974,28,0.8571,9.2712,1293.0464,1271.8464,21.2000,2025-06-11,2025-07-21,239,108742.3700,118070.1700,62.6492,0.0000,0.0000,1.8693,0.0000,4,1.0000,0.0000,195.7301,186.9301,8.8000,1.6228,0,1,"OOS trades=4 < 5"
