timeframe,date_from,date_to,bars_count,price_start,price_end,sharpe_ratio,sortino_ratio,calmar_ratio,total_return,max_drawdown_pct,win_rate,profit_factor,total_trades,exit_mode,parameters,plateau_ratio,avg_neighbor_sharpe,neighbor_count,composite_score,cc_sharpe,cc_calmar,cc_profit_factor,cc_plateau,cc_trades,cc_cost_stress,cc_win_rate,cc_dd_penalty,wfo_pass_rate,wfo_avg_test_sharpe
4h,2024-05-09,2026-05-09,4383,7.3640,3.8070,11.8411,37.5704,80.8068,67638.8216,5.6354,0.8173,9.6686,301,bb_mean_revert,"rsi_bb_mr(rsi_period=14,rsi_low=25,rsi_high=70,bb_period=30,bb_std=1.5)",1.0000,10.8801,7,0.9957,0.2498,0.2000,0.1500,0.1500,0.0964,0.0995,0.0500,0.0000,0.6667,61.7607
4h,2024-05-09,2026-05-09,4383,7.3640,3.8070,12.5518,36.1419,97.7589,69640.2225,5.0629,0.8362,10.6564,293,bb_mean_revert,"rsi_bb_mr(rsi_period=14,rsi_low=25,rsi_high=70,bb_period=20,bb_std=1.5)",1.0000,10.3578,8,0.9956,0.2499,0.2000,0.1500,0.1500,0.0961,0.0996,0.0500,0.0000,0.7500,45.6723
4h,2024-05-09,2026-05-09,4383,7.3640,3.8070,13.2153,43.0121,134.0555,60867.7363,4.1192,0.8289,12.3016,263,bb_mean_revert,"rsi_bb_mr(rsi_period=14,rsi_low=25,rsi_high=70,bb_period=15,bb_std=1.5)",1.0000,10.3296,7,0.9938,0.2499,0.2000,0.1500,0.1500,0.0942,0.0997,0.0500,0.0000,0.8000,28.0431
4h,2024-05-09,2026-05-09,4383,7.3640,3.8070,15.1837,65.7265,324.2671,36283.5798,1.1214,0.8765,24.9500,251,bb_mean_revert,"rsi_bb_mr(rsi_period=7,rsi_low=20,rsi_high=70,bb_period=30,bb_std=2)",1.0000,10.9747,6,0.9931,0.2500,0.2000,0.1500,0.1500,0.0932,0.0999,0.0500,0.0000,0.7500,21.8212
4h,2024-05-09,2026-05-09,4383,7.3640,3.8070,9.2091,23.6204,53.8968,75766.1325,6.4838,0.7722,8.1805,360,bb_mean_revert,"rsi_bb_mr(rsi_period=7,rsi_low=20,rsi_high=70,bb_period=30,bb_std=1.5)",1.0000,11.0986,5,0.9922,0.2489,0.2000,0.1500,0.1500,0.0984,0.0980,0.0469,0.0000,0.8000,27.4366
4h,2024-05-09,2026-05-09,4383,7.3640,3.8070,8.9995,26.5644,29.8218,35730.4437,6.2798,0.7735,7.7672,362,bb_mean_revert,"rsi_bb_mr(rsi_period=7,rsi_low=20,rsi_high=75,bb_period=30,bb_std=1.5)",1.0000,8.3399,6,0.9910,0.2488,0.1990,0.1500,0.1500,0.0984,0.0978,0.0471,0.0000,0.8000,26.9656
4h,2024-05-09,2026-05-09,4383,7.3640,3.8070,15.5543,56.8090,175.3631,44749.7066,3.8564,0.8708,17.1326,209,bb_mean_revert,"rsi_bb_mr(rsi_period=14,rsi_low=25,rsi_high=70,bb_period=30,bb_std=2)",1.0000,11.5136,8,0.9883,0.2500,0.2000,0.1500,0.1500,0.0884,0.0999,0.0500,0.0000,0.6667,35.6909
4h,2024-05-09,2026-05-09,4383,7.3640,3.8070,8.0045,16.9880,31.3685,75166.9694,9.1300,0.7619,6.3364,399,bb_mean_revert,"rsi_bb_mr(rsi_period=7,rsi_low=20,rsi_high=70,bb_period=20,bb_std=1.5)",1.0000,9.1082,6,0.9878,0.2476,0.1992,0.1498,0.1500,0.0990,0.0964,0.0458,0.0000,0.8000,27.5041
4h,2024-05-09,2026-05-09,4383,7.3640,3.8070,9.8711,27.7250,50.0244,29517.3517,6.5383,0.7437,6.8249,238,bb_mean_revert,"rsi_bb_mr(rsi_period=7,rsi_low=20,rsi_high=70,bb_period=20,bb_std=2)",1.0000,9.7825,7,0.9834,0.2493,0.2000,0.1499,0.1500,0.0920,0.0986,0.0437,0.0000,0.7500,30.5711
4h,2024-05-09,2026-05-09,4383,7.3640,3.8070,11.0540,25.8516,106.0130,36133.8866,7.6641,0.7989,8.0911,174,bb_mean_revert,"rsi_bb_mr(rsi_period=14,rsi_low=25,rsi_high=70,bb_period=20,bb_std=2)",1.0000,10.7183,9,0.9808,0.2497,0.2000,0.1500,0.1500,0.0821,0.0992,0.0499,0.0000,0.5000,18.1890
4h,2024-05-09,2026-05-09,4383,7.3640,3.8070,8.7380,19.0660,51.3288,29465.3226,8.1310,0.7667,6.8775,210,bb_mean_revert,"rsi_bb_mr(rsi_period=7,rsi_low=20,rsi_high=70,bb_period=15,bb_std=2)",1.0000,9.4729,6,0.9807,0.2485,0.2000,0.1499,0.1500,0.0885,0.0975,0.0463,0.0000,0.8000,14.7442
4h,2024-05-09,2026-05-09,4383,7.3640,3.8070,8.9377,20.6270,52.6867,26176.1018,6.8772,0.7583,6.9013,211,bb_mean_revert,"rsi_bb_mr(rsi_period=7,rsi_low=20,rsi_high=75,bb_period=15,bb_std=2)",1.0000,8.7789,7,0.9804,0.2487,0.2000,0.1499,0.1500,0.0887,0.0977,0.0454,0.0000,0.8000,14.7442
4h,2024-05-09,2026-05-09,4383,7.3640,3.8070,10.7002,30.9063,22.5491,23225.3646,10.3697,0.7410,5.3205,251,bb_mean_revert,"rsi_bb_mr(rsi_period=7,rsi_low=20,rsi_high=75,bb_period=30,bb_std=2)",1.0000,10.6443,7,0.9800,0.2496,0.1956,0.1491,0.1500,0.0932,0.0991,0.0434,0.0000,0.7500,30.3021
4h,2024-05-09,2026-05-09,4383,7.3640,3.8070,20.5021,227.2045,3036.7496,38326.3106,0.3361,0.9512,140.3101,164,bb_mean_revert,"rsi_bb_mr(rsi_period=14,rsi_low=20,rsi_high=75,bb_period=15,bb_std=1.5)",1.0000,11.7768,7,0.9798,0.2500,0.2000,0.1500,0.1500,0.0798,0.1000,0.0500,0.0000,1.0000,58.5723
4h,2024-05-09,2026-05-09,4383,7.3640,3.8070,16.0127,96.0590,507.8773,45391.8794,2.5280,0.8537,21.2015,164,bb_mean_revert,"rsi_bb_mr(rsi_period=14,rsi_low=20,rsi_high=75,bb_period=30,bb_std=1.5)",1.0000,12.2277,7,0.9797,0.2500,0.2000,0.1500,0.1500,0.0798,0.0999,0.0500,0.0000,1.0000,71.6166
4h,2024-05-09,2026-05-09,4383,7.3640,3.8070,7.1458,14.2547,24.7337,65608.0285,10.2638,0.7444,5.3502,403,bb_mean_revert,"rsi_bb_mr(rsi_period=7,rsi_low=20,rsi_high=70,bb_period=15,bb_std=1.5)",1.0000,8.6838,5,0.9795,0.2458,0.1972,0.1491,0.1500,0.0991,0.0945,0.0438,0.0000,0.8000,17.9337
4h,2024-05-09,2026-05-09,4383,7.3640,3.8070,17.8572,141.2189,975.6569,45775.9765,1.3814,0.8827,31.7161,162,bb_mean_revert,"rsi_bb_mr(rsi_period=14,rsi_low=20,rsi_high=75,bb_period=20,bb_std=1.5)",1.0000,12.8092,8,0.9793,0.2500,0.2000,0.1500,0.1500,0.0793,0.1000,0.0500,0.0000,1.0000,69.2684
4h,2024-05-09,2026-05-09,4383,7.3640,3.8070,16.0527,99.7814,577.6673,49977.7764,2.7290,0.8375,20.0207,160,bb_mean_revert,"rsi_bb_mr(rsi_period=21,rsi_low=25,rsi_high=70,bb_period=30,bb_std=1.5)",1.0000,13.2117,6,0.9787,0.2500,0.2000,0.1500,0.1500,0.0788,0.0999,0.0500,0.0000,0.0000,0.0000
4h,2024-05-09,2026-05-09,4383,7.3640,3.8070,14.7895,46.4482,302.1793,52555.3643,5.9367,0.8408,12.1621,157,bb_mean_revert,"rsi_bb_mr(rsi_period=14,rsi_low=20,rsi_high=70,bb_period=20,bb_std=1.5)",1.0000,13.8330,7,0.9779,0.2500,0.2000,0.1500,0.1500,0.0781,0.0999,0.0500,0.0000,1.0000,50.1943
4h,2024-05-09,2026-05-09,4383,7.3640,3.8070,14.2689,44.6498,257.3152,52220.9580,6.9083,0.8217,10.8291,157,bb_mean_revert,"rsi_bb_mr(rsi_period=14,rsi_low=20,rsi_high=70,bb_period=30,bb_std=1.5)",1.0000,13.7330,6,0.9779,0.2500,0.2000,0.1500,0.1500,0.0781,0.0998,0.0500,0.0000,1.0000,107.2496
4h,2024-05-09,2026-05-09,4383,7.3640,3.8070,15.0007,50.0709,382.2838,50611.0408,5.0183,0.8411,13.7972,151,bb_mean_revert,"rsi_bb_mr(rsi_period=14,rsi_low=20,rsi_high=70,bb_period=15,bb_std=1.5)",1.0000,14.3687,6,0.9763,0.2500,0.2000,0.1500,0.1500,0.0764,0.0999,0.0500,0.0000,1.0000,44.0518
4h,2024-05-09,2026-05-09,4383,7.3640,3.8070,18.2495,126.3773,1117.0363,47639.3870,1.6060,0.8733,28.8376,150,bb_mean_revert,"rsi_bb_mr(rsi_period=21,rsi_low=25,rsi_high=70,bb_period=20,bb_std=1.5)",1.0000,13.9867,7,0.9761,0.2500,0.2000,0.1500,0.1500,0.0762,0.1000,0.0500,0.0000,1.0000,64.7145
4h,2024-05-09,2026-05-09,4383,7.3640,3.8070,21.2783,292.5240,3265.8196,41459.5704,0.5061,0.9375,118.9153,144,bb_mean_revert,"rsi_bb_mr(rsi_period=21,rsi_low=25,rsi_high=70,bb_period=15,bb_std=1.5)",1.0000,13.2078,6,0.9744,0.2500,0.2000,0.1500,0.1500,0.0744,0.1000,0.0500,0.0000,1.0000,95.1873
4h,2024-05-09,2026-05-09,4383,7.3640,3.8070,9.4723,23.7483,23.1114,16091.7662,9.8797,0.7426,5.1215,202,bb_mean_revert,"rsi_bb_mr(rsi_period=14,rsi_low=30,rsi_high=70,bb_period=15,bb_std=2)",1.0000,6.6216,7,0.9732,0.2491,0.1961,0.1488,0.1500,0.0873,0.0983,0.0436,0.0000,1.0000,21.4388
4h,2024-05-09,2026-05-09,4383,7.3640,3.8070,11.1028,32.6062,28.8202,19519.0915,11.4949,0.7634,4.0306,186,bb_mean_revert,"rsi_bb_mr(rsi_period=21,rsi_low=30,rsi_high=70,bb_period=30,bb_std=2)",1.0000,10.6455,6,0.9730,0.2497,0.1987,0.1448,0.1500,0.0845,0.0992,0.0459,0.0000,1.0000,54.8203
4h,2024-05-09,2026-05-09,4383,7.3640,3.8070,7.7541,15.9305,23.5041,17906.3208,7.9449,0.7295,4.5004,244,bb_mean_revert,"rsi_bb_mr(rsi_period=7,rsi_low=25,rsi_high=70,bb_period=15,bb_std=2)",1.0000,7.2265,7,0.9714,0.2472,0.1964,0.1472,0.1500,0.0926,0.0959,0.0422,0.0000,0.8000,14.6290
4h,2024-05-09,2026-05-09,4383,7.3640,3.8070,18.5782,118.2706,1074.5006,39824.6711,1.8514,0.8872,29.0888,133,bb_mean_revert,"rsi_bb_mr(rsi_period=14,rsi_low=20,rsi_high=75,bb_period=30,bb_std=2)",1.0000,13.0223,8,0.9710,0.2500,0.2000,0.1500,0.1500,0.0710,0.1000,0.0500,0.0000,0.0000,0.0000
4h,2024-05-09,2026-05-09,4383,7.3640,3.8070,15.4883,49.0445,460.6020,42766.0321,5.2316,0.8462,14.3353,130,bb_mean_revert,"rsi_bb_mr(rsi_period=14,rsi_low=20,rsi_high=70,bb_period=30,bb_std=2)",1.0000,15.2710,7,0.9699,0.2500,0.2000,0.1500,0.1500,0.0700,0.0999,0.0500,0.0000,0.0000,0.0000
4h,2024-05-09,2026-05-09,4383,7.3640,3.8070,11.3055,28.5393,205.3064,32984.5719,7.0489,0.7910,8.2439,134,bb_mean_revert,"rsi_bb_mr(rsi_period=14,rsi_low=25,rsi_high=70,bb_period=15,bb_std=2)",1.0000,11.4636,8,0.9693,0.2497,0.2000,0.1500,0.1500,0.0713,0.0993,0.0490,0.0000,1.0000,30.2877
4h,2024-05-09,2026-05-09,4383,7.3640,3.8070,19.6016,132.3166,1679.6471,41137.2488,1.6220,0.8618,28.8105,123,bb_mean_revert,"rsi_bb_mr(rsi_period=21,rsi_low=25,rsi_high=70,bb_period=30,bb_std=2)",1.0000,13.9687,7,0.9675,0.2500,0.2000,0.1500,0.1500,0.0675,0.1000,0.0500,0.0000,0.0000,0.0000
