fold,parameters,train_date_from,train_date_to,train_bars,train_price_start,train_price_end,train_sharpe,train_sortino,train_calmar,train_return,train_maxdd,train_trades,train_win_rate,train_profit_factor,train_pnl,train_net_pnl,train_fees,test_date_from,test_date_to,test_bars,test_price_start,test_price_end,test_sharpe,test_sortino,test_calmar,test_return,test_maxdd,test_trades,test_win_rate,test_profit_factor,test_pnl,test_net_pnl,test_fees,degradation,passed,skipped,skip_reason
0,"rsi_bb_mr(rsi_period=14,rsi_low=25,rsi_high=70,bb_period=30,bb_std=1.5)",2024-05-09,2024-08-19,613,7.3640,6.0700,22.0144,143.6758,2173.3103,80.9126,1.1434,46,0.8696,40.6455,8132.8566,8091.2563,41.6003,2024-08-23,2024-10-02,239,6.9770,7.0110,15.0040,0.0000,0.0000,0.9499,0.0000,3,1.0000,0.0000,104.9849,94.9851,9.9998,0.6816,0,1,"OOS trades=3 < 5"
1,"rsi_bb_mr(rsi_period=14,rsi_low=25,rsi_high=70,bb_period=30,bb_std=1.5)",2024-10-02,2025-01-12,613,7.0150,13.7630,-3.4501,-4.2022,-2.2567,-8.8298,20.6813,36,0.3889,0.6486,-840.5835,-882.9832,42.3997,2025-01-16,2025-02-25,239,14.3880,7.8770,-11.5979,-10.7934,-14.6757,-3.7055,4.7052,8,0.1250,0.2361,-358.9470,-370.5471,11.6001,0.0000,0,0,""
2,"rsi_bb_mr(rsi_period=14,rsi_low=25,rsi_high=70,bb_period=30,bb_std=1.5)",2025-02-25,2025-06-07,613,7.8100,6.3130,19.9824,159.7274,860.8423,23.6162,0.3009,42,0.9048,44.4924,2398.8247,2361.6246,37.2001,2025-06-11,2025-07-21,239,8.0270,10.5260,118.5751,0.0000,0.0000,19.2408,0.0000,12,1.0000,0.0000,1938.0769,1924.0769,14.0000,5.9340,1,0,""
3,"rsi_bb_mr(rsi_period=14,rsi_low=25,rsi_high=70,bb_period=30,bb_std=1.5)",2025-07-21,2025-10-31,613,11.1050,5.7340,24.6041,0.0000,0.0000,52.2563,0.0000,43,1.0000,0.0000,5260.0339,5225.6334,34.4005,2025-11-04,2025-12-14,239,4.9430,5.4040,78.3050,0.0000,0.0000,19.7940,0.0000,7,1.0000,0.0000,1986.5993,1979.3993,7.2000,3.1826,1,0,""
4,"rsi_bb_mr(rsi_period=14,rsi_low=25,rsi_high=70,bb_period=30,bb_std=1.5)",2025-12-14,2026-03-26,613,5.3790,3.5130,14.5003,49.6466,127.2815,34.2924,3.4889,44,0.8409,8.5067,3466.8433,3429.2424,37.6009,2026-03-30,2026-05-09,239,3.4740,3.6560,18.1801,0.0000,0.0000,0.7561,0.0000,2,1.0000,0.0000,83.6099,75.6096,8.0002,1.2538,0,1,"OOS trades=2 < 5"
0,"rsi_bb_mr(rsi_period=14,rsi_low=25,rsi_high=70,bb_period=20,bb_std=1.5)",2024-05-09,2024-08-19,613,7.3640,6.0700,19.6199,111.7300,1091.1595,63.8814,1.4722,44,0.8636,27.7766,6428.1386,6388.1380,40.0006,2024-08-23,2024-10-02,239,6.9770,7.0110,33.9675,0.0000,0.0000,9.3124,0.0000,12,1.0000,0.0000,944.4408,931.2409,13.1999,1.7313,1,0,""
1,"rsi_bb_mr(rsi_period=14,rsi_low=25,rsi_high=70,bb_period=20,bb_std=1.5)",2024-10-02,2025-01-12,613,7.0150,13.7630,-9.4902,-8.7058,-2.8798,-23.7092,30.7539,31,0.3548,0.3131,-2330.1248,-2370.9247,40.7999,2025-01-16,2025-02-25,239,14.3880,7.8770,-11.5979,-10.7934,-14.6757,-3.7055,4.7052,8,0.1250,0.2361,-358.9470,-370.5471,11.6001,0.0000,0,0,""
2,"rsi_bb_mr(rsi_period=14,rsi_low=25,rsi_high=70,bb_period=20,bb_std=1.5)",2025-02-25,2025-06-07,613,7.8100,6.3130,18.5098,490.9111,3045.4804,25.6977,0.1178,38,0.9737,177.3193,2605.7727,2569.7727,36.0000,2025-06-11,2025-07-21,239,8.0270,10.5260,84.9772,0.0000,0.0000,14.7915,0.0000,12,1.0000,0.0000,1495.1461,1479.1462,16.0000,4.5909,1,0,""
3,"rsi_bb_mr(rsi_period=14,rsi_low=25,rsi_high=70,bb_period=20,bb_std=1.5)",2025-07-21,2025-10-31,613,11.1050,5.7340,26.7571,0.0000,0.0000,75.4181,0.0000,41,1.0000,0.0000,7575.8090,7541.8086,34.0004,2025-11-04,2025-12-14,239,4.9430,5.4040,75.3426,0.0000,0.0000,26.9338,0.0000,12,1.0000,0.0000,2704.9770,2693.3771,11.5999,2.8158,1,0,""
4,"rsi_bb_mr(rsi_period=14,rsi_low=25,rsi_high=70,bb_period=20,bb_std=1.5)",2025-12-14,2026-03-26,613,5.3790,3.5130,17.7794,71.5069,190.2218,39.0815,2.4509,48,0.8542,12.6472,3947.7487,3908.1477,39.6009,2026-03-30,2026-05-09,239,3.4740,3.6560,37.6792,0.0000,0.0000,1.2504,0.0000,4,1.0000,0.0000,135.0355,125.0354,10.0001,2.1193,0,1,"OOS trades=4 < 5"
