timestamp,open,high,low,close,volume
1683028800000,7.596,7.67,7.579,7.631,2312663.7
1683032400000,7.631,7.664,7.594,7.613,1753231.9
1683036000000,7.613,7.908,7.548,7.782,5992943.7
1683039600000,7.781,7.987,7.757,7.873,4980290.1
1683043200000,7.872,7.987,7.791,7.828,3573691.0
1683046800000,7.829,7.895,7.782,7.823,2035881.7
1683050400000,7.823,8.05,7.783,8.002,2908508.2
1683054000000,8.002,8.07,7.955,7.964,2491997.9
1683057600000,7.965,8.087,7.965,7.981,1728211.3
1683061200000,7.982,8.009,7.884,7.895,1489878.1
1683064800000,7.895,7.953,7.882,7.9,1068013.0
1683068400000,7.901,7.925,7.837,7.851,809573.5
1683072000000,7.851,7.867,7.768,7.784,1311771.8
1683075600000,7.784,7.805,7.72,7.742,1013255.0
1683079200000,7.741,7.794,7.68,7.768,1774977.9
1683082800000,7.768,7.769,7.67,7.683,1015696.1
1683086400000,7.683,7.718,7.665,7.71,942678.1
1683090000000,7.71,7.71,7.606,7.623,1095081.5
1683093600000,7.623,7.706,7.596,7.657,1546942.4
1683097200000,7.658,7.686,7.63,7.638,914755.0
1683100800000,7.638,7.757,7.611,7.701,1707152.4
1683104400000,7.7,7.706,7.644,7.673,1084001.2
1683108000000,7.674,7.746,7.654,7.717,1151840.9
1683111600000,7.716,7.742,7.528,7.539,2075892.4
1683115200000,7.538,7.579,7.461,7.482,2467694.0
1683118800000,7.482,7.548,7.404,7.472,2790349.3
1683122400000,7.472,7.476,7.358,7.381,1861046.3
1683126000000,7.381,7.393,7.305,7.375,2097962.4
1683129600000,7.375,7.446,7.336,7.444,1614233.4
1683133200000,7.443,7.516,7.34,7.414,2489095.3
1683136800000,7.413,7.584,7.395,7.505,5088825.0
1683140400000,7.506,7.594,7.437,7.452,2953030.2
1683144000000,7.451,7.524,7.405,7.481,1438061.8
1683147600000,7.481,7.797,7.477,7.745,2577694.8
1683151200000,7.745,7.999,7.743,7.966,3520230.4
1683154800000,7.966,8.002,7.905,7.931,1858174.4
1683158400000,7.932,7.945,7.692,7.769,2226008.4
1683162000000,7.769,7.803,7.707,7.722,1062962.6
1683165600000,7.722,7.781,7.685,7.735,992305.0
1683169200000,7.735,7.739,7.65,7.726,1013477.2
1683172800000,7.726,7.798,7.7,7.779,1191638.9
1683176400000,7.779,7.794,7.722,7.748,888500.2
1683180000000,7.747,7.754,7.658,7.708,896804.5
1683183600000,7.708,7.709,7.605,7.614,1214644.3
1683187200000,7.614,7.663,7.605,7.645,791097.9
1683190800000,7.645,7.667,7.592,7.64,827458.1
1683194400000,7.639,7.769,7.6,7.737,2750763.1
1683198000000,7.736,7.759,7.651,7.655,1871446.8
1683201600000,7.654,7.664,7.516,7.536,1975757.2
1683205200000,7.537,7.561,7.428,7.499,2637266.4
1683208800000,7.498,7.524,7.442,7.462,1798366.3
1683212400000,7.462,7.518,7.416,7.441,1129708.9
1683216000000,7.441,7.538,7.416,7.466,1320525.0
1683219600000,7.467,7.478,7.411,7.434,1214357.3
1683223200000,7.433,7.466,7.382,7.39,1102722.5
1683226800000,7.39,7.432,7.365,7.416,1050582.4
1683230400000,7.417,7.431,7.366,7.406,758000.1
1683234000000,7.406,7.43,7.326,7.368,894870.9
1683237600000,7.368,7.378,7.312,7.341,963815.8
1683241200000,7.341,7.382,7.335,7.377,680185.0
1683244800000,7.377,7.438,7.342,7.416,986992.9
1683248400000,7.416,7.51,7.301,7.472,1959237.7
1683252000000,7.473,7.514,7.387,7.477,1376664.7
1683255600000,7.476,7.477,7.369,7.383,967769.3
1683259200000,7.383,7.445,7.357,7.435,822835.4
1683262800000,7.434,7.437,7.36,7.402,716482.0
1683266400000,7.404,7.487,7.404,7.484,977616.2
1683270000000,7.484,7.658,7.469,7.602,3061052.6
1683273600000,7.603,7.67,7.579,7.586,1983394.6
1683277200000,7.586,7.668,7.584,7.615,1329139.2
1683280800000,7.616,7.693,7.6,7.617,1512843.5
1683284400000,7.616,7.645,7.56,7.608,1489652.3
1683288000000,7.609,7.694,7.452,7.618,4236503.5
1683291600000,7.618,7.675,7.539,7.66,2429529.3
1683295200000,7.66,7.954,7.648,7.854,5140024.6
1683298800000,7.855,7.935,7.732,7.758,3618755.7
1683302400000,7.758,7.97,7.754,7.891,3600720.2
1683306000000,7.891,7.96,7.85,7.958,1657216.0
1683309600000,7.958,7.959,7.769,7.809,1965465.2
1683313200000,7.809,7.883,7.772,7.872,1288565.3
1683316800000,7.872,7.909,7.812,7.884,1158341.3
1683320400000,7.884,7.919,7.86,7.872,1051023.4
1683324000000,7.873,7.91,7.815,7.827,884383.5
1683327600000,7.826,7.943,7.788,7.809,1505131.4
1683331200000,7.809,7.916,7.769,7.84,1722882.0
