timestamp,open,high,low,close,volume
1712059200000,0.619,0.626,0.593,0.625,9302853.0
1712062800000,0.625,0.729,0.622,0.705,59343266.0
1712066400000,0.706,0.779,0.68,0.692,103264012.0
1712070000000,0.692,0.736,0.668,0.689,66798282.0
1712073600000,0.69,0.738,0.688,0.731,43717362.0
1712077200000,0.731,0.843,0.726,0.807,112881217.0
1712080800000,0.807,0.91,0.806,0.846,135491569.0
1712084400000,0.847,0.885,0.803,0.87,85643306.0
1712088000000,0.87,0.872,0.813,0.822,48157133.0
1712091600000,0.823,0.877,0.823,0.86,32343914.0
1712095200000,0.859,0.872,0.821,0.846,36940581.0
1712098800000,0.846,0.849,0.75,0.772,65389773.0
1712102400000,0.772,0.787,0.703,0.78,72714492.0
1712106000000,0.78,0.868,0.765,0.846,103859124.0
1712109600000,0.847,0.855,0.796,0.837,46341961.0
1712113200000,0.837,0.892,0.819,0.87,50266136.0
1712116800000,0.87,0.873,0.824,0.83,37535469.0
1712120400000,0.829,0.831,0.782,0.82,60673483.0
1712124000000,0.82,0.864,0.813,0.856,38644298.0
1712127600000,0.856,0.924,0.823,0.918,71719051.0
1712131200000,0.919,0.935,0.867,0.93,104319200.0
1712134800000,0.93,0.959,0.915,0.926,86345051.0
1712138400000,0.925,0.946,0.901,0.925,62823579.0
1712142000000,0.925,0.944,0.893,0.904,57728821.0
1712145600000,0.905,0.936,0.855,0.925,108657692.0
1712149200000,0.924,0.975,0.924,0.932,96685677.0
1712152800000,0.931,1.045,0.93,1.045,114387115.0
1712156400000,1.045,1.216,1.002,1.194,207711383.0
1712160000000,1.194,1.305,1.15,1.169,295510177.0
1712163600000,1.168,1.222,1.091,1.105,160466274.0
1712167200000,1.105,1.155,1.08,1.082,89119904.0
1712170800000,1.081,1.139,1.055,1.108,67506519.0
1712174400000,1.107,1.108,1.045,1.104,78198747.0
1712178000000,1.103,1.157,1.065,1.152,62559512.0
1712181600000,1.152,1.157,1.101,1.106,37517841.0
1712185200000,1.106,1.148,1.063,1.134,51163800.0
1712188800000,1.134,1.164,1.092,1.108,58732301.0
1712192400000,1.109,1.124,1.07,1.078,41093550.0
1712196000000,1.078,1.099,1.004,1.061,73874344.0
1712199600000,1.061,1.08,0.952,0.955,87304765.0
1712203200000,0.954,0.998,0.911,0.988,116202445.0
1712206800000,0.989,1.045,0.972,1.041,84167512.0
1712210400000,1.042,1.07,1.012,1.014,60107320.0
1712214000000,1.015,1.039,0.986,1.005,59264388.0
1712217600000,1.004,1.036,0.952,0.96,64149194.0
1712221200000,0.959,1.022,0.958,1.015,51096774.0
1712224800000,1.016,1.134,1.011,1.098,145869735.0
1712228400000,1.099,1.167,1.08,1.126,87758475.0
1712232000000,1.125,1.155,1.087,1.091,80206643.0
