timestamp,open,high,low,close,volume
1683025200000,6.862,6.89,6.859,6.884,460864.42
1683028800000,6.884,6.904,6.847,6.865,851236.6
1683032400000,6.866,6.877,6.813,6.828,996616.24
1683036000000,6.829,6.953,6.794,6.899,2756382.24
1683039600000,6.899,6.954,6.875,6.905,1350343.17
1683043200000,6.904,6.912,6.876,6.884,561158.14
1683046800000,6.884,6.91,6.873,6.901,471276.12
1683050400000,6.901,6.961,6.886,6.928,869901.93
1683054000000,6.928,7.011,6.92,6.993,2163366.27
1683057600000,6.993,7.005,6.964,6.968,989763.0
1683061200000,6.968,6.995,6.962,6.975,336428.51
1683064800000,6.975,6.993,6.971,6.983,513862.29
1683068400000,6.983,6.993,6.969,6.983,430928.54
1683072000000,6.983,6.986,6.904,6.914,1052616.11
1683075600000,6.913,6.945,6.913,6.94,406129.86
1683079200000,6.94,6.958,6.885,6.95,793905.64
1683082800000,6.95,6.973,6.929,6.971,532782.84
1683086400000,6.972,6.989,6.945,6.962,1071937.85
1683090000000,6.962,6.964,6.938,6.948,295869.16
1683093600000,6.948,7.0,6.942,6.979,596012.92
1683097200000,6.98,6.999,6.967,6.971,564568.75
1683100800000,6.972,6.987,6.94,6.971,636056.47
1683104400000,6.97,6.976,6.952,6.972,310012.65
1683108000000,6.971,6.973,6.946,6.947,357328.75
1683111600000,6.948,6.956,6.9,6.906,750871.26
1683115200000,6.905,6.916,6.822,6.832,2214014.88
1683118800000,6.832,6.883,6.813,6.869,2084383.16
1683122400000,6.869,6.872,6.825,6.838,1076204.31
1683126000000,6.838,6.868,6.813,6.864,796289.44
1683129600000,6.864,6.897,6.846,6.893,830839.85
1683133200000,6.894,6.948,6.85,6.918,1852807.08
1683136800000,6.918,7.068,6.904,7.055,5247360.12
1683140400000,7.056,7.086,6.984,6.992,2598928.22
1683144000000,6.992,7.052,6.976,7.042,980548.17
1683147600000,7.043,7.122,7.028,7.087,1427703.34
1683151200000,7.088,7.148,7.088,7.134,1240261.68
1683154800000,7.134,7.141,7.095,7.128,638626.24
1683158400000,7.127,7.145,7.104,7.128,795596.8
1683162000000,7.128,7.146,7.12,7.143,494393.5
1683165600000,7.143,7.16,7.121,7.138,544528.55
1683169200000,7.137,7.143,7.091,7.109,527315.92
1683172800000,7.109,7.126,7.105,7.12,394601.69
1683176400000,7.119,7.135,7.104,7.128,507605.09
1683180000000,7.128,7.137,7.092,7.106,449686.95
1683183600000,7.107,7.108,7.063,7.065,612750.81
1683187200000,7.066,7.08,7.057,7.068,398463.26
1683190800000,7.068,7.078,7.046,7.074,496723.91
1683194400000,7.074,7.121,7.068,7.094,726560.71
1683198000000,7.095,7.099,7.057,7.063,391007.16
1683201600000,7.062,7.08,7.026,7.043,776155.77
1683205200000,7.043,7.054,6.982,7.006,1432669.85
1683208800000,7.005,7.031,6.996,7.005,825260.62
1683212400000,7.004,7.045,7.001,7.026,618891.67
1683216000000,7.025,7.039,7.0,7.029,615031.84
1683219600000,7.028,7.03,6.984,7.007,610169.76
1683223200000,7.006,7.009,6.966,6.978,765482.83
1683226800000,6.977,6.985,6.953,6.982,798016.52
1683230400000,6.982,6.998,6.964,6.975,488868.41
1683234000000,6.975,6.989,6.956,6.976,317935.44
1683237600000,6.976,6.978,6.96,6.967,352445.3
1683241200000,6.967,6.995,6.964,6.993,340869.51
1683244800000,6.993,7.013,6.984,7.007,432262.27
1683248400000,7.007,7.097,6.986,7.073,1217796.7
1683252000000,7.074,7.111,7.049,7.074,848870.37
1683255600000,7.075,7.094,7.048,7.06,481700.55
1683259200000,7.06,7.077,7.055,7.07,298377.08
1683262800000,7.069,7.07,7.039,7.046,354120.63
1683266400000,7.047,7.076,7.046,7.061,387814.37
1683270000000,7.06,7.088,7.037,7.042,572684.25
1683273600000,7.043,7.061,7.034,7.036,383557.87
1683277200000,7.036,7.051,7.021,7.032,370359.96
1683280800000,7.032,7.043,7.015,7.036,370652.21
1683284400000,7.036,7.058,7.016,7.045,463955.77
1683288000000,7.045,7.06,6.855,6.98,2892988.64
1683291600000,6.98,7.074,6.955,7.073,1500988.15
1683295200000,7.069,7.149,7.065,7.117,1942059.28
1683298800000,7.116,7.148,7.095,7.138,986021.41
1683302400000,7.139,7.258,7.137,7.217,2964076.53
1683306000000,7.218,7.229,7.19,7.213,935448.8
1683309600000,7.214,7.245,7.182,7.221,1184024.19
1683313200000,7.221,7.254,7.21,7.247,737375.33
1683316800000,7.248,7.276,7.233,7.247,954735.64
1683320400000,7.247,7.268,7.233,7.234,481747.1
1683324000000,7.234,7.247,7.224,7.224,450442.97
1683327600000,7.225,7.239,7.215,7.223,283048.48
1683331200000,7.224,7.278,7.207,7.242,946302.94
1683334800000,7.243,7.248,7.16,7.168,906179.59
1683338400000,7.168,7.171,7.155,7.163,455714.43
1683342000000,7.163,7.166,7.143,7.157,493048.88
1683345600000,7.157,7.185,7.144,7.145,478936.51
1683349200000,7.145,7.16,7.139,7.149,370412.79
1683352800000,7.149,7.168,7.124,7.137,507704.87
1683356400000,7.137,7.144,7.095,7.106,694101.83
1683360000000,7.106,7.106,7.026,7.06,2083494.99
1683363600000,7.06,7.075,7.048,7.061,642844.92
