timestamp,open,high,low,close,volume
1705586400000,0.4475,0.4484,0.3933,0.3984,15148877.3
1705590000000,0.3984,0.4386,0.3796,0.4291,25000758.5
1705593600000,0.4292,0.4328,0.3834,0.4028,19833383.3
1705597200000,0.4028,0.4148,0.3716,0.3783,26437412.9
1705600800000,0.378,0.3921,0.3704,0.3895,15925144.5
1705604400000,0.3897,0.3901,0.3724,0.3821,12122356.9
1705608000000,0.3823,0.389,0.3641,0.3818,14583265.1
1705611600000,0.3817,0.4098,0.3748,0.3947,9922902.5
1705615200000,0.3946,0.4055,0.3757,0.3788,7431654.3
1705618800000,0.3789,0.3843,0.3511,0.3616,13089624.8
1705622400000,0.3617,0.3829,0.353,0.3777,10255648.5
1705626000000,0.3776,0.3844,0.3601,0.369,9357371.4
1705629600000,0.3689,0.3738,0.341,0.3519,9814347.8
1705633200000,0.352,0.3613,0.34,0.3577,11717960.5
1705636800000,0.3576,0.3645,0.3541,0.36,6374903.5
1705640400000,0.3598,0.3651,0.3556,0.363,4308261.7
1705644000000,0.3632,0.3705,0.356,0.3691,6144184.8
1705647600000,0.3689,0.3691,0.354,0.3564,9020482.8
1705651200000,0.3563,0.3647,0.3501,0.3631,6700994.2
1705654800000,0.3631,0.3719,0.3589,0.3704,6440021.4
1705658400000,0.3704,0.3747,0.3639,0.3722,5762464.3
1705662000000,0.3722,0.3897,0.3715,0.3858,9790785.0
1705665600000,0.386,0.3868,0.3687,0.3762,10299231.0
1705669200000,0.3761,0.3814,0.3655,0.3769,8847600.5
1705672800000,0.3769,0.377,0.3594,0.3664,7769157.7
1705676400000,0.3664,0.3744,0.3601,0.3611,6819809.9
1705680000000,0.3612,0.3639,0.322,0.3314,21505760.6
1705683600000,0.331,0.359,0.3248,0.3563,9930203.9
1705687200000,0.3564,0.3887,0.3514,0.3853,10107934.9
1705690800000,0.3853,0.4067,0.3813,0.4048,12251029.4
1705694400000,0.4046,0.4096,0.3903,0.4007,11924280.3
1705698000000,0.4007,0.4174,0.3957,0.4097,8524452.2
1705701600000,0.4097,0.416,0.3981,0.4085,5250556.4
1705705200000,0.4084,0.4104,0.3937,0.4004,6212454.0
1705708800000,0.4004,0.41,0.3907,0.392,9541848.3
1705712400000,0.3921,0.4026,0.3908,0.3994,2779063.0
1705716000000,0.3995,0.4005,0.3786,0.3796,3695029.5
1705719600000,0.3795,0.3835,0.3756,0.379,2693366.7
1705723200000,0.379,0.3801,0.3693,0.3723,2084188.0
1705726800000,0.3723,0.3761,0.3663,0.3676,3394848.4
1705730400000,0.3676,0.3723,0.3617,0.3649,2452650.5
1705734000000,0.365,0.3668,0.3601,0.3613,1743727.3
1705737600000,0.3614,0.3626,0.3475,0.3493,6553635.1
1705741200000,0.3493,0.3514,0.3411,0.3423,3803550.1
1705744800000,0.3423,0.3576,0.3422,0.3506,4542218.6
1705748400000,0.3506,0.3507,0.3447,0.3482,2178253.3
1705752000000,0.3481,0.3482,0.3411,0.3441,3044231.9
1705755600000,0.3442,0.3475,0.3421,0.3439,1727031.3
1705759200000,0.3439,0.3477,0.3316,0.3361,5364958.7
1705762800000,0.3362,0.342,0.3302,0.3364,3494133.7
1705766400000,0.3364,0.338,0.3312,0.3326,3503906.6
1705770000000,0.3326,0.3503,0.3302,0.3479,4431331.6
1705773600000,0.348,0.3485,0.3321,0.3378,5475818.4
1705777200000,0.338,0.3398,0.333,0.3339,3294646.6
1705780800000,0.3339,0.3454,0.333,0.344,3947744.2
1705784400000,0.344,0.3464,0.3367,0.342,3331281.5
1705788000000,0.342,0.342,0.3351,0.3396,3316380.4
1705791600000,0.3399,0.3408,0.3345,0.3372,2811295.4
1705795200000,0.3372,0.3375,0.3273,0.3293,6830886.7
1705798800000,0.3292,0.3335,0.3241,0.3287,5704617.7
1705802400000,0.3286,0.334,0.3279,0.3335,2590536.6
1705806000000,0.3337,0.34,0.331,0.3324,3603132.4
1705809600000,0.3325,0.3381,0.3285,0.3337,3858108.2
1705813200000,0.3339,0.3374,0.3317,0.3347,2843847.3
1705816800000,0.3347,0.335,0.3071,0.3143,19057326.1
1705820400000,0.3144,0.3238,0.3127,0.3221,8931418.0
1705824000000,0.322,0.3302,0.32,0.3242,6793401.4
1705827600000,0.3243,0.3432,0.3243,0.3429,7227375.5
1705831200000,0.3429,0.3464,0.3374,0.3433,6360666.7
1705834800000,0.3434,0.3482,0.3373,0.3419,6703424.2
1705838400000,0.3418,0.3457,0.3308,0.332,4593064.2
1705842000000,0.3319,0.332,0.3231,0.3246,7798471.7
1705845600000,0.3245,0.3259,0.31,0.3215,10052977.5
1705849200000,0.3215,0.3245,0.3075,0.3112,9447766.4
1705852800000,0.3112,0.3116,0.2936,0.3068,18962996.2
1705856400000,0.3067,0.3127,0.3024,0.3113,8070471.1
1705860000000,0.3113,0.3195,0.308,0.3176,8038804.6
1705863600000,0.3177,0.3199,0.309,0.3123,7495689.8
1705867200000,0.3123,0.3155,0.3083,0.3126,5728718.6
1705870800000,0.3125,0.3155,0.3107,0.314,3788803.4
1705874400000,0.3139,0.3139,0.3038,0.3072,6056325.1
1705878000000,0.3072,0.311,0.3003,0.3032,6593621.6
1705881600000,0.3033,0.3091,0.3,0.3025,7875531.7
1705885200000,0.3025,0.3041,0.2828,0.2959,18774532.2
1705888800000,0.296,0.2963,0.282,0.2872,14104229.3
1705892400000,0.2872,0.291,0.2801,0.287,11271270.8
1705896000000,0.2871,0.2902,0.2754,0.2797,13627526.4
1705899600000,0.2798,0.2922,0.2763,0.291,9490572.3
1705903200000,0.291,0.2926,0.2802,0.2812,9886102.5
1705906800000,0.2812,0.2816,0.2727,0.2754,11599007.0
1705910400000,0.2755,0.2786,0.265,0.2728,19687148.3
1705914000000,0.2728,0.2787,0.259,0.265,23482450.3
1705917600000,0.2649,0.2663,0.251,0.2549,27395507.3
1705921200000,0.2549,0.2698,0.2544,0.2562,22376131.7
1705924800000,0.2562,0.2821,0.2559,0.2802,24449083.6
1705928400000,0.2803,0.2848,0.2727,0.2804,18976211.2
1705932000000,0.2804,0.2837,0.2669,0.2685,16662190.7
1705935600000,0.2685,0.2734,0.257,0.2708,28082465.7
1705939200000,0.2709,0.2852,0.2697,0.2706,19882734.9
1705942800000,0.2707,0.271,0.2605,0.2608,12767012.0
1705946400000,0.2609,0.2648,0.2548,0.2597,15351101.8
1705950000000,0.2596,0.262,0.2366,0.2467,39182419.1
1705953600000,0.2468,0.2578,0.2406,0.2544,24984035.5
1705957200000,0.2546,0.2563,0.2462,0.2503,12765367.4
1705960800000,0.2502,0.2541,0.2403,0.2436,14486960.7
1705964400000,0.2438,0.2443,0.2279,0.2325,30558066.8
1705968000000,0.2327,0.2428,0.232,0.2379,22064987.6
1705971600000,0.2379,0.2428,0.2334,0.2392,10998132.9
1705975200000,0.2391,0.2468,0.2362,0.2416,11220327.1
1705978800000,0.2417,0.2446,0.2371,0.244,11291234.8
1705982400000,0.2437,0.26,0.2437,0.2575,19017934.7
1705986000000,0.2574,0.2764,0.2557,0.2705,28490489.3
1705989600000,0.2706,0.2758,0.253,0.2537,21472057.2
1705993200000,0.2536,0.2557,0.2437,0.2461,19969978.1
1705996800000,0.246,0.25,0.2377,0.2477,21408933.9
1706000400000,0.2478,0.2482,0.2293,0.2401,26923253.5
1706004000000,0.24,0.2451,0.2344,0.2363,14104339.5
1706007600000,0.2362,0.2401,0.2283,0.2319,17361348.9
1706011200000,0.2319,0.2396,0.229,0.2337,17689611.1
1706014800000,0.2338,0.2364,0.2202,0.2204,21935700.1
1706018400000,0.2204,0.2221,0.2066,0.2142,46313847.8
1706022000000,0.2141,0.2218,0.2111,0.2207,27722685.2
1706025600000,0.2208,0.2252,0.2094,0.2168,22872200.6
1706029200000,0.2167,0.2261,0.2141,0.2248,19498660.1
1706032800000,0.2248,0.2389,0.2248,0.2269,26167250.4
1706036400000,0.2267,0.2323,0.2242,0.226,13914941.1
1706040000000,0.226,0.2315,0.2249,0.2272,8284315.0
1706043600000,0.2272,0.2298,0.2221,0.2253,8513330.0
1706047200000,0.2254,0.2485,0.2247,0.2456,20014051.1
1706050800000,0.2457,0.2831,0.2448,0.2796,67579953.1
1706054400000,0.2797,0.2984,0.2738,0.2897,81747818.2
1706058000000,0.2897,0.2949,0.2753,0.2777,46988736.5
1706061600000,0.2776,0.293,0.275,0.2925,33838168.6
1706065200000,0.2927,0.341,0.2902,0.3338,124915850.2
1706068800000,0.334,0.3448,0.3215,0.3257,87912587.0
1706072400000,0.3256,0.3368,0.3225,0.3237,45200197.3
1706076000000,0.3237,0.329,0.3099,0.3234,67332202.5
1706079600000,0.3236,0.3349,0.3165,0.3196,49399772.0
1706083200000,0.3196,0.3287,0.3128,0.3228,46289078.6
1706086800000,0.3229,0.3349,0.3197,0.3294,58394489.4
1706090400000,0.3292,0.3422,0.3265,0.3345,64977935.4
1706094000000,0.3344,0.3355,0.3075,0.3141,94674868.7
1706097600000,0.314,0.3279,0.3128,0.3163,61713513.1
1706101200000,0.3163,0.3268,0.314,0.3204,48148488.4
1706104800000,0.3205,0.3327,0.319,0.3209,71407251.7
1706108400000,0.3209,0.3293,0.3178,0.3277,46600112.3
1706112000000,0.3278,0.3544,0.3233,0.3411,105626270.3
1706115600000,0.3413,0.36,0.3384,0.352,67495389.1
1706119200000,0.3518,0.3548,0.3376,0.3446,50650293.9
1706122800000,0.3447,0.3485,0.328,0.334,46538029.3
1706126400000,0.334,0.3434,0.3294,0.3329,32133556.3
1706130000000,0.3327,0.3441,0.3303,0.3355,24664813.4
1706133600000,0.3355,0.3446,0.3338,0.3388,19389199.4
1706137200000,0.3386,0.3555,0.3382,0.3504,33694563.0
1706140800000,0.3502,0.3534,0.3366,0.3442,31719141.0
1706144400000,0.3443,0.3484,0.3264,0.3309,30883254.2
1706148000000,0.331,0.3464,0.3272,0.3364,26465422.9
1706151600000,0.3363,0.347,0.3342,0.3468,14029667.1
1706155200000,0.347,0.3612,0.337,0.3375,36401722.5
