symbol,strategy,exit_mode,p1,p2,p3,atr_per,sl_mult,trail_mult,sharpe,trades,return_pct,dd_pct,win_rate,plateau,neighbors,plateau_ratio,rel_variance,wf_sharpe,wf_oos_is_ratio,wf_passed,wrc_p,wrc_sig,no_lookahead
AAVEUSDT,donchian,chan,15,15,2.0,21,2.0,3.0,-2.999,117,-90148.04,667.08,0.34,false,0,0.000,1.000,0.000,0.000,false,1.0000,false,true
AAVEUSDT,donchian,chan_ts,15,15,2.0,21,2.0,3.0,-2.999,117,-90148.04,667.08,0.34,false,0,0.000,1.000,0.000,0.000,false,1.0000,false,true
AAVEUSDT,donchian,sig_be,15,15,2.0,21,2.0,3.0,-2.999,117,-90148.04,667.08,0.34,false,0,0.000,1.000,0.000,0.000,false,1.0000,false,true
AAVEUSDT,dual_momentum,chan,40,40,2.0,10,0.8,2.5,0.895,110,2454.47,13.98,0.31,false,224,0.330,0.148,0.000,0.000,false,0.4824,false,true
AAVEUSDT,dual_momentum,chan_ts,40,40,2.0,10,0.8,2.5,0.895,110,2454.47,13.98,0.31,false,224,0.330,0.148,0.000,0.000,false,0.4824,false,true
AAVEUSDT,dual_momentum,sig_be,40,40,2.0,10,0.8,2.5,0.895,110,2454.47,13.98,0.31,false,224,0.330,0.148,0.000,0.000,false,0.4824,false,true
AAVEUSDT,ema_crossover,chan,5,20,2.0,10,0.8,1.8,-2.132,122,-5025.96,64.43,0.25,false,0,0.000,1.000,-9.806,-9.800,false,1.0000,false,true
AAVEUSDT,ema_crossover,chan_ts,5,20,2.0,10,0.8,1.8,-2.132,122,-5025.96,64.43,0.25,false,0,0.000,1.000,-9.806,-9.800,false,1.0000,false,true
AAVEUSDT,ema_crossover,sig_be,5,20,2.0,10,0.8,1.8,-2.132,122,-5025.96,64.43,0.25,false,0,0.000,1.000,-9.806,-9.800,false,1.0000,false,true
AAVEUSDT,keltner_breakout,chan,20,20,1.5,21,2.0,3.5,-5.752,217,-213070.85,2326.51,0.23,false,0,0.000,1.000,0.000,0.000,false,1.0000,false,true
AAVEUSDT,keltner_breakout,chan_ts,20,20,1.5,21,2.0,3.5,-5.752,217,-213070.85,2326.51,0.23,false,0,0.000,1.000,0.000,0.000,false,1.0000,false,true
AAVEUSDT,keltner_breakout,sig_be,20,20,1.5,21,2.0,3.5,-5.752,217,-213070.85,2326.51,0.23,false,0,0.000,1.000,0.000,0.000,false,1.0000,false,true
AAVEUSDT,supertrend,chan,7,7,3.0,21,2.0,3.5,2.262,37,2951.39,16.71,0.43,false,149,0.497,0.132,0.000,0.000,false,0.4812,false,false
AAVEUSDT,supertrend,chan_ts,7,7,3.0,21,2.0,3.5,2.262,37,2951.39,16.71,0.43,false,149,0.497,0.132,0.000,0.000,false,0.4812,false,false
AAVEUSDT,supertrend,sig_be,7,7,3.0,21,2.0,3.5,2.262,37,2951.39,16.71,0.43,false,149,0.497,0.132,0.000,0.000,false,0.4812,false,false
AAVEUSDT,tsmom,chan,10,15,0.2,10,0.8,1.8,6.670,44,27168.82,4.11,0.64,false,149,0.497,0.836,0.000,0.000,false,0.4708,false,true
AAVEUSDT,tsmom,chan_ts,10,15,0.2,10,0.8,1.8,6.670,44,27168.82,4.11,0.64,false,149,0.497,0.836,0.000,0.000,false,0.4708,false,true
AAVEUSDT,tsmom,sig_be,10,15,0.2,10,0.8,1.8,6.670,44,27168.82,4.11,0.64,false,149,0.497,0.836,0.000,0.000,false,0.4708,false,true
AAVEUSDT,rsi2,chan,2,20,10.0,10,0.8,2.5,8.651,82,42560.80,8.15,0.77,false,149,0.497,0.437,0.000,0.000,false,0.5064,false,true
AAVEUSDT,rsi2,chan_ts,2,20,10.0,10,0.8,2.5,8.651,82,42560.80,8.15,0.77,false,149,0.497,0.437,0.000,0.000,false,0.5064,false,true
AAVEUSDT,rsi2,sig_be,2,20,10.0,10,0.8,2.5,8.651,82,42560.80,8.15,0.77,false,149,0.497,0.437,0.000,0.000,false,0.5064,false,true
AAVEUSDT,rsi_bb_mr,chan,2,15,2.5,21,2.0,3.0,16.539,32,68955.03,1.09,0.94,true,149,1.000,0.000,0.000,0.000,false,0.4798,false,true
AAVEUSDT,rsi_bb_mr,chan_ts,2,15,2.5,21,2.0,3.0,16.539,32,68955.03,1.09,0.94,true,149,1.000,0.000,0.000,0.000,false,0.4798,false,true
AAVEUSDT,rsi_bb_mr,sig_be,2,15,2.5,21,2.0,3.0,16.539,32,68955.03,1.09,0.94,true,149,1.000,0.000,0.000,0.000,false,0.4798,false,true
ADAUSDT,donchian,chan,15,15,2.0,21,2.0,3.0,-6.167,118,-63263.12,652.05,0.25,false,0,0.000,1.000,-34.568,2.363,false,1.0000,false,true
ADAUSDT,donchian,chan_ts,15,15,2.0,21,2.0,3.0,-6.167,118,-63263.12,652.05,0.25,false,0,0.000,1.000,-34.568,2.363,false,1.0000,false,true
ADAUSDT,donchian,sig_be,15,15,2.0,21,2.0,3.0,-6.167,118,-63263.12,652.05,0.25,false,0,0.000,1.000,-34.568,2.363,false,1.0000,false,true
ADAUSDT,dual_momentum,chan,30,30,2.0,10,0.8,4.0,0.841,186,2060.14,18.63,0.31,false,224,0.665,0.916,-5.165,5.223,false,0.5014,false,true
ADAUSDT,dual_momentum,chan_ts,30,30,2.0,10,0.8,4.0,0.841,186,2060.14,18.63,0.31,false,224,0.665,0.916,-5.165,5.223,false,0.5014,false,true
ADAUSDT,dual_momentum,sig_be,30,30,2.0,10,0.8,4.0,0.841,186,2060.14,18.63,0.31,false,224,0.665,0.916,-5.165,5.223,false,0.5014,false,true
ADAUSDT,ema_crossover,chan,10,20,2.0,10,0.8,1.8,-1.842,80,-4347.14,54.07,0.23,false,0,0.000,1.000,-11.996,1.538,false,1.0000,false,false
ADAUSDT,ema_crossover,chan_ts,10,20,2.0,10,0.8,1.8,-1.842,80,-4347.14,54.07,0.23,false,0,0.000,1.000,-11.996,1.538,false,1.0000,false,false
ADAUSDT,ema_crossover,sig_be,10,20,2.0,10,0.8,1.8,-1.842,80,-4347.14,54.07,0.23,false,0,0.000,1.000,-11.996,1.538,false,1.0000,false,false
ADAUSDT,keltner_breakout,chan,30,30,1.5,10,0.8,3.0,-3.154,260,-78671.13,2426.60,0.41,false,0,0.000,1.000,0.000,0.000,false,1.0000,false,true
ADAUSDT,keltner_breakout,chan_ts,30,30,1.5,10,0.8,3.0,-3.154,260,-78671.13,2426.60,0.41,false,0,0.000,1.000,0.000,0.000,false,1.0000,false,true
ADAUSDT,keltner_breakout,sig_be,30,30,1.5,10,0.8,3.0,-3.154,260,-78671.13,2426.60,0.41,false,0,0.000,1.000,0.000,0.000,false,1.0000,false,true
ADAUSDT,supertrend,chan,10,10,3.5,21,2.0,3.5,2.288,38,2346.97,16.75,0.39,false,224,0.330,0.161,0.000,0.000,false,0.4834,false,true
ADAUSDT,supertrend,chan_ts,10,10,3.5,21,2.0,3.5,2.288,38,2346.97,16.75,0.39,false,224,0.330,0.161,0.000,0.000,false,0.4834,false,true
ADAUSDT,supertrend,sig_be,10,10,3.5,21,2.0,3.5,2.288,38,2346.97,16.75,0.39,false,224,0.330,0.161,0.000,0.000,false,0.4834,false,true
ADAUSDT,tsmom,chan,40,20,0.2,21,2.0,4.0,6.452,50,19710.13,3.21,0.44,false,224,0.330,0.644,0.000,0.000,false,0.4790,false,true
ADAUSDT,tsmom,chan_ts,40,20,0.2,21,2.0,4.0,6.452,50,19710.13,3.21,0.44,false,224,0.330,0.644,0.000,0.000,false,0.4790,false,true
ADAUSDT,tsmom,sig_be,40,20,0.2,21,2.0,4.0,6.452,50,19710.13,3.21,0.44,false,224,0.330,0.644,0.000,0.000,false,0.4790,false,true
ADAUSDT,rsi2,chan,3,20,20.0,10,0.8,3.0,3.250,83,93010.53,11.94,0.60,true,74,1.000,0.000,0.000,0.000,false,0.4642,false,true
ADAUSDT,rsi2,chan_ts,3,20,20.0,10,0.8,3.0,3.250,83,93010.53,11.94,0.60,true,74,1.000,0.000,0.000,0.000,false,0.4642,false,true
ADAUSDT,rsi2,sig_be,3,20,20.0,10,0.8,3.0,3.250,83,93010.53,11.94,0.60,true,74,1.000,0.000,0.000,0.000,false,0.4642,false,true
ADAUSDT,rsi_bb_mr,chan,14,25,2.5,21,2.0,4.0,14.732,50,115121.23,2.55,0.92,true,74,1.000,0.000,0.000,0.000,false,0.4990,false,true
ADAUSDT,rsi_bb_mr,chan_ts,14,25,2.5,21,2.0,4.0,14.732,50,115121.23,2.55,0.92,true,74,1.000,0.000,0.000,0.000,false,0.4990,false,true
ADAUSDT,rsi_bb_mr,sig_be,14,25,2.5,21,2.0,4.0,14.732,50,115121.23,2.55,0.92,true,74,1.000,0.000,0.000,0.000,false,0.4990,false,true
APTUSDT,donchian,chan,40,40,2.0,21,2.0,4.0,-8.460,62,-83721.90,897.03,0.23,false,0,0.000,1.000,0.000,0.000,false,1.0000,false,true
APTUSDT,donchian,chan_ts,40,40,2.0,21,2.0,4.0,-8.460,62,-83721.90,897.03,0.23,false,0,0.000,1.000,0.000,0.000,false,1.0000,false,true
