symbol,strategy,exit_mode,p1,p2,p3,atr_per,sl_mult,trail_mult,lookback,sharpe,trades,return_pct,dd_pct,win_rate
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,1.8,0,-4.290,150,-2165.28,40.42,0.40
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,1.8,6,-4.408,150,-2330.39,42.07,0.40
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,1.8,8,-4.408,150,-2330.39,42.07,0.40
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,1.8,10,-4.408,150,-2330.39,42.07,0.40
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,1.8,12,-4.408,150,-2330.39,42.07,0.40
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,2.0,0,-5.318,143,-2595.91,38.28,0.38
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,2.0,6,-5.316,142,-2629.21,38.53,0.39
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,2.0,8,-5.316,142,-2629.21,38.53,0.39
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,2.0,10,-5.296,142,-2615.72,38.40,0.39
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,2.0,12,-5.296,142,-2615.72,38.40,0.39
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,2.2,0,-3.514,136,-1521.82,27.85,0.39
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,2.2,6,-3.610,134,-1558.53,28.06,0.40
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,2.2,8,-3.682,135,-1648.73,29.04,0.39
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,2.2,10,-3.509,135,-1549.00,28.05,0.39
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,2.2,12,-3.509,135,-1549.00,28.05,0.39
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,2.5,0,-7.189,125,-3883.88,52.42,0.38
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,2.5,6,-8.972,122,-4956.53,62.91,0.38
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,2.5,8,-8.182,123,-4600.12,59.43,0.37
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,2.5,10,-7.658,124,-4241.27,55.92,0.38
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,2.5,12,-7.060,124,-3782.57,51.33,0.38
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,3.0,0,-4.164,115,-4995.59,67.62,0.35
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,3.0,6,-5.254,95,-5385.52,65.03,0.33
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,3.0,8,-5.108,101,-5300.52,64.66,0.33
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,3.0,10,-4.362,107,-4452.12,61.23,0.36
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,3.0,12,-4.106,111,-4128.24,58.62,0.36
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,3.5,0,-5.636,101,-5112.24,62.78,0.37
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,3.5,6,-12.274,77,-6529.87,75.28,0.32
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,3.5,8,-12.949,90,-7615.92,86.94,0.32
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,3.5,10,-12.586,93,-7284.61,83.86,0.33
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,3.5,12,-6.290,93,-5303.27,64.05,0.34
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,4.0,0,-6.364,92,-5344.99,64.39,0.34
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,4.0,6,-10.864,67,-5212.16,61.07,0.30
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,4.0,8,-11.405,72,-6066.43,70.01,0.29
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,4.0,10,-11.825,75,-6136.80,70.96,0.28
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,4.0,12,-11.825,75,-6136.80,70.96,0.28
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,1.8,0,-3.650,137,-2079.60,43.57,0.43
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,1.8,6,-3.507,136,-2009.57,42.79,0.44
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,1.8,8,-3.507,136,-2009.57,42.79,0.44
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,1.8,10,-3.766,137,-2244.71,45.22,0.43
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,1.8,12,-3.766,137,-2244.71,45.22,0.43
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,2.0,0,-4.511,128,-2400.10,34.25,0.43
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,2.0,6,-4.519,127,-2433.41,34.50,0.43
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,2.0,8,-4.519,127,-2433.41,34.50,0.43
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,2.0,10,-4.499,127,-2419.91,34.36,0.43
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,2.0,12,-4.499,127,-2419.91,34.36,0.43
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,2.2,0,-2.212,120,-954.97,23.37,0.44
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,2.2,6,-3.809,118,-1891.80,32.58,0.43
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,2.2,8,-2.482,118,-1152.28,25.19,0.43
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,2.2,10,-2.217,119,-982.15,23.57,0.45
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,2.2,12,-2.217,119,-982.15,23.57,0.45
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,2.5,0,-10.010,101,-5119.15,59.26,0.39
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,2.5,6,-10.503,98,-5340.64,61.23,0.39
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,2.5,8,-10.587,101,-5472.76,62.79,0.40
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,2.5,10,-10.545,100,-5476.54,62.75,0.39
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,2.5,12,-9.890,100,-5017.84,58.16,0.39
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,3.0,0,-4.028,89,-3898.22,57.25,0.39
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,3.0,6,-5.111,77,-3990.38,52.11,0.39
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,3.0,8,-4.240,78,-3034.49,44.43,0.41
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,3.0,10,-4.096,82,-3392.90,50.15,0.41
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,3.0,12,-3.589,85,-3044.50,49.11,0.41
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,3.5,0,-3.025,82,-3559.16,57.57,0.40
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,3.5,6,0.818,64,346.29,17.94,0.42
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,3.5,8,-0.385,73,-417.33,22.24,0.41
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,3.5,10,-0.577,74,-590.13,24.39,0.42
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,3.5,12,-3.122,74,-3100.86,49.22,0.42
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,4.0,0,-3.814,75,-3633.26,58.75,0.36
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,4.0,6,1.209,48,436.61,14.84,0.33
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,4.0,8,0.816,54,171.36,23.97,0.33
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,4.0,10,-0.425,62,-424.09,21.04,0.34
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,4.0,12,-0.425,62,-424.09,21.04,0.34
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,1.8,0,-4.815,135,-2900.12,46.68,0.40
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,1.8,6,-4.730,134,-2900.19,46.60,0.41
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,1.8,8,-4.730,134,-2900.19,46.60,0.41
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,1.8,10,-4.987,135,-3150.44,49.18,0.40
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,1.8,12,-4.987,135,-3150.44,49.18,0.40
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,2.0,0,-5.927,127,-3222.90,42.38,0.40
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,2.0,6,-5.934,126,-3256.20,42.63,0.40
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,2.0,8,-5.934,126,-3256.20,42.63,0.40
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,2.0,10,-5.914,126,-3242.71,42.50,0.40
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,2.0,12,-5.914,126,-3242.71,42.50,0.40
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,2.2,0,-3.257,119,-1586.99,25.41,0.42
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,2.2,6,-4.951,117,-2523.82,34.62,0.41
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,2.2,8,-3.542,117,-1784.30,27.23,0.41
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,2.2,10,-3.261,118,-1614.17,25.61,0.42
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,2.2,12,-3.261,118,-1614.17,25.61,0.42
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,2.5,0,-9.613,97,-4842.11,56.17,0.37
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,2.5,6,-10.153,94,-5081.40,58.32,0.37
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,2.5,8,-10.255,97,-5213.52,59.88,0.38
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,2.5,10,-10.247,96,-5238.08,60.05,0.38
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,2.5,12,-9.479,96,-4740.80,55.07,0.38
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,3.0,0,-3.895,82,-3154.84,42.91,0.40
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,3.0,6,-4.289,81,-3064.14,40.70,0.38
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,3.0,8,-3.208,75,-2002.12,35.84,0.41
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,3.0,10,-2.768,76,-2089.18,37.59,0.42
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,3.0,12,-2.910,78,-2144.38,36.81,0.42
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,3.5,0,-2.478,73,-2928.01,53.21,0.40
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,3.5,6,1.656,62,896.71,16.08,0.40
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,3.5,8,-0.883,71,-1061.35,37.81,0.39
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,3.5,10,-1.087,70,-1318.45,40.30,0.39
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,3.5,12,-2.617,70,-3696.54,63.14,0.40
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,4.0,0,-3.451,65,-3185.95,53.29,0.40
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,4.0,6,-6.832,31,-2595.01,36.30,0.29
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,4.0,8,-5.697,37,-2860.25,39.29,0.30
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,4.0,10,-15.748,57,-7225.42,76.80,0.26
BTCUSDT,donchian,chan,10,10,2.0,14,1.2,4.0,12,-14.834,56,-6841.67,72.88,0.27
BTCUSDT,donchian,chan,10,10,2.0,14,1.5,1.8,0,-6.319,132,-4456.05,59.76,0.36
BTCUSDT,donchian,chan,10,10,2.0,14,1.5,1.8,6,-6.279,131,-4493.72,60.05,0.37
BTCUSDT,donchian,chan,10,10,2.0,14,1.5,1.8,8,-6.252,131,-4456.12,59.68,0.37
BTCUSDT,donchian,chan,10,10,2.0,14,1.5,1.8,10,-6.404,132,-4706.37,62.26,0.36
BTCUSDT,donchian,chan,10,10,2.0,14,1.5,1.8,12,-6.404,132,-4706.37,62.26,0.36
BTCUSDT,donchian,chan,10,10,2.0,14,1.5,2.0,0,-7.648,122,-4752.40,57.28,0.38
BTCUSDT,donchian,chan,10,10,2.0,14,1.5,2.0,6,-7.662,121,-4785.70,57.53,0.38
BTCUSDT,donchian,chan,10,10,2.0,14,1.5,2.0,8,-7.662,121,-4785.70,57.53,0.38
