symbol,strategy,exit_mode,p1,p2,p3,atr_per,sl_mult,trail_mult,lookback,sharpe,trades,return_pct,dd_pct,win_rate
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,1.8,0,-3.538,156,-1311.70,25.59,0.33
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,1.8,6,-3.357,155,-1253.53,24.93,0.34
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,1.8,8,-3.357,155,-1253.53,24.93,0.34
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,1.8,10,-3.701,156,-1488.19,27.35,0.33
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,1.8,12,-3.701,156,-1488.19,27.35,0.33
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,2.0,0,-4.062,146,-1557.89,27.25,0.35
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,2.0,6,-4.060,145,-1591.46,27.51,0.35
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,2.0,8,-4.060,145,-1591.46,27.51,0.35
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,2.0,10,-4.037,145,-1578.00,27.37,0.35
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,2.0,12,-4.037,145,-1578.00,27.37,0.35
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,2.2,0,-2.341,141,-571.28,19.97,0.35
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,2.2,6,-3.458,138,-1091.79,23.31,0.36
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,2.2,8,-2.521,139,-708.88,20.20,0.35
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,2.2,10,-2.339,140,-598.83,20.00,0.36
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,2.2,12,-2.339,140,-598.83,20.00,0.36
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,2.5,0,-7.621,123,-3236.29,43.45,0.33
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,2.5,6,-8.390,116,-3473.88,44.13,0.33
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,2.5,8,-8.334,119,-3463.11,44.82,0.34
