symbol,strategy,exit_mode,p1,p2,p3,atr_per,sl_mult,trail_mult,lookback,sharpe,trades,return_pct,dd_pct,win_rate
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,1.8,0,-2.809,149,-4119.44,53.11,0.36
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,1.8,6,-2.842,147,-4149.49,53.25,0.35
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,1.8,8,-2.856,149,-4263.57,54.55,0.36
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,1.8,10,-2.856,149,-4263.57,54.55,0.36
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,1.8,12,-2.856,149,-4263.57,54.55,0.36
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,2.0,0,-2.876,140,-4090.67,52.10,0.34
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,2.0,6,-2.839,137,-4043.16,51.39,0.34
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,2.0,8,-2.917,139,-4161.89,52.73,0.34
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,2.0,10,-2.917,139,-4161.89,52.73,0.34
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,2.0,12,-2.873,139,-4090.63,52.02,0.34
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,2.2,0,-3.117,129,-4897.82,59.29,0.29
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,2.2,6,-3.225,125,-5011.19,60.11,0.30
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,2.2,8,-3.187,128,-5035.54,60.59,0.30
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,2.2,10,-3.156,128,-4965.66,59.89,0.30
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,2.2,12,-3.156,128,-4965.66,59.89,0.30
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,2.5,0,-2.662,113,-4257.83,52.30,0.31
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,2.5,6,-4.001,111,-5910.32,68.66,0.30
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,2.5,8,-3.518,112,-5468.89,64.33,0.29
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,2.5,10,-2.870,112,-4701.67,56.66,0.30
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,2.5,12,-2.842,112,-4631.78,55.96,0.30
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,3.0,0,-2.405,103,-6043.88,69.35,0.27
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,3.0,6,-3.209,85,-6369.50,71.17,0.25
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,3.0,8,-3.141,91,-6546.93,73.42,0.24
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,3.0,10,-3.133,92,-6331.71,71.35,0.25
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,3.0,12,-2.318,97,-5285.06,61.28,0.28
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,3.5,0,-2.548,94,-7227.27,80.47,0.24
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,3.5,6,-4.680,71,-6787.71,74.24,0.21
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,3.5,8,-4.440,82,-8639.85,93.64,0.23
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,3.5,10,-4.118,85,-8719.63,94.68,0.24
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,3.5,12,-4.118,85,-8719.63,94.68,0.24
