symbol,strategy,exit_mode,p1,p2,p3,atr_per,sl_mult,trail_mult,sharpe,trades,return_pct,dd_pct,win_rate,plateau,neighbors,plateau_ratio,rel_variance,wf_sharpe,wf_oos_is_ratio,wf_passed,wrc_p,wrc_sig,no_lookahead
BTCUSDT,donchian,chan,25,25,2.0,14,2.0,4.0,4.069,19,3408.84,9.18,0.42,0,699,0.003,0.398,0.000,0.000,0,0,1.0000,0,1
BTCUSDT,donchian,chan_ts,10,10,2.0,14,2.0,3.0,1.569,65,-10844.70,115.22,0.28,0,524,0.000,0.665,0.000,0.000,0,0,0.4670,0,1
BTCUSDT,donchian,sig_be,15,15,2.0,14,2.0,1.8,1.037,81,1856.67,18.07,0.49,0,699,0.013,1.440,0.000,0.000,0,0,0.4866,0,1
BTCUSDT,dual_momentum,chan,15,15,2.0,14,2.0,3.5,3.461,43,4421.06,10.89,0.40,0,524,0.006,0.408,0.000,0.000,0,0,0.4836,0,1
BTCUSDT,dual_momentum,chan_ts,10,10,2.0,14,2.0,3.5,2.813,59,4159.27,13.75,0.53,0,524,0.004,0.472,-8.821,-8.643,0,2,0.4992,0,1
BTCUSDT,dual_momentum,sig_be,40,40,2.0,14,1.0,2.0,1.351,102,2308.50,9.09,0.50,0,524,0.027,0.759,3.747,1.851,1,3,0.4940,0,1
BTCUSDT,ema_crossover,chan,5,50,2.0,14,2.0,4.0,5.930,23,4058.08,7.26,0.57,0,349,0.011,0.334,0.000,0.000,0,0,1.0000,0,1
BTCUSDT,ema_crossover,chan_ts,8,50,2.0,14,2.0,4.0,5.178,34,4212.48,8.36,0.59,0,699,0.007,0.416,0.000,0.000,0,0,0.4946,0,1
BTCUSDT,ema_crossover,sig_be,8,50,2.0,14,2.0,2.5,3.437,43,2593.26,6.86,0.51,0,699,0.013,0.427,0.000,0.000,0,0,0.4924,0,1
BTCUSDT,keltner_breakout,chan,30,30,1.5,14,2.0,4.0,5.072,19,4275.30,3.59,0.47,0,349,0.003,0.377,0.000,0.000,0,0,1.0000,0,0
BTCUSDT,keltner_breakout,chan_ts,25,25,3.0,14,2.0,4.0,4.769,18,3335.36,7.93,0.50,0,524,0.010,0.411,0.000,0.000,0,0,1.0000,0,1
BTCUSDT,keltner_breakout,sig_be,20,20,3.0,14,1.0,3.0,3.094,18,1658.84,7.67,0.28,0,524,0.027,0.564,0.000,0.000,0,0,1.0000,0,1
BTCUSDT,supertrend,chan,10,10,3.5,14,1.2,4.0,5.238,25,3935.20,4.60,0.52,0,524,0.008,0.391,0.000,0.000,0,0,1.0000,0,1
BTCUSDT,supertrend,chan_ts,10,10,3.5,14,1.2,3.5,2.612,39,2116.88,10.65,0.44,0,524,0.010,0.638,0.000,0.000,0,0,0.4892,0,1
BTCUSDT,supertrend,sig_be,10,10,3.5,14,1.2,3.5,2.113,39,1359.44,9.97,0.51,0,524,0.036,0.783,0.000,0.000,0,0,0.4896,0,1
BTCUSDT,tsmom,chan,40,20,0.1,14,2.0,3.0,5.289,32,4664.37,8.88,0.50,0,524,0.013,0.403,0.000,0.000,0,0,0.5012,0,1
BTCUSDT,tsmom,chan_ts,50,20,0.1,14,2.0,3.0,4.771,34,3091.92,3.90,0.62,0,349,0.009,0.389,0.000,0.000,0,0,0.4870,0,1
BTCUSDT,tsmom,sig_be,40,20,0.1,14,2.0,1.8,3.251,71,3050.19,6.54,0.55,0,524,0.036,0.470,-7.447,-0.991,0,2,0.4978,0,1
BTCUSDT,rsi2,chan,5,50,10.0,14,2.0,4.0,11.936,7,1520.00,1.81,0.71,0,174,0.006,0.408,0.000,0.000,0,0,1.0000,0,1
BTCUSDT,rsi2,chan_ts,4,50,5.0,14,2.0,3.0,12.093,5,1305.90,2.39,0.60,0,174,0.023,0.415,0.000,0.000,0,0,1.0000,0,1
BTCUSDT,rsi2,sig_be,5,50,10.0,14,1.2,2.0,4.539,8,632.48,2.35,0.25,0,174,0.080,0.646,0.000,0.000,0,0,1.0000,0,1
BTCUSDT,rsi_bb_mr,chan,10,15,1.5,14,2.0,4.0,4.129,26,4779.55,8.50,0.27,0,174,0.011,0.392,0.000,0.000,0,0,1.0000,0,1
BTCUSDT,rsi_bb_mr,chan_ts,2,25,1.5,14,1.0,3.0,2.159,95,4890.34,13.74,0.51,0,349,0.109,0.464,-7.173,-35.089,0,2,0.4830,0,1
BTCUSDT,rsi_bb_mr,sig_be,10,25,1.5,14,1.5,2.2,1.945,115,4199.98,12.96,0.57,0,174,0.195,0.324,11.810,5.975,1,5,0.4958,0,1
