symbol,strategy,exit_mode,p1,p2,p3,atr_per,sl_mult,trail_mult,sharpe,trades,return_pct,dd_pct,win_rate,plateau,neighbors,plateau_ratio,rel_variance,wf_sharpe,wf_oos_is_ratio,wf_passed,wrc_p,wrc_sig,no_lookahead
BTCUSDT,donchian,chan,25,25,2.0,14,2.0,4.0,2.732,32,3043.99,11.48,0.34,0,699,0.001,0.491,0.000,0.000,0,0,0.4584,0,1
BTCUSDT,donchian,chan_ts,15,15,2.0,14,1.0,3.5,0.241,93,716.49,20.69,0.31,0,699,0.001,4.224,1.298,1.257,0,2,1.0000,0,1
BTCUSDT,donchian,sig_be,20,20,2.0,14,2.0,2.2,0.715,69,1185.53,23.24,0.46,0,874,0.010,2.126,0.000,0.000,0,0,0.4934,0,1
BTCUSDT,dual_momentum,chan,30,30,2.0,14,1.5,4.0,3.050,30,2744.21,12.32,0.40,0,524,0.010,0.561,0.000,0.000,0,0,1.0000,0,1
BTCUSDT,dual_momentum,chan_ts,15,15,2.0,14,2.0,3.5,2.830,61,4356.34,17.18,0.46,0,524,0.000,0.512,0.000,0.000,0,0,0.4984,0,1
BTCUSDT,dual_momentum,sig_be,40,40,2.0,14,1.0,2.2,1.455,102,2383.87,9.08,0.51,0,524,0.027,0.779,3.747,1.540,1,3,0.4962,0,1
BTCUSDT,ema_crossover,chan,12,20,2.0,14,2.0,4.0,5.222,24,4472.10,5.03,0.38,0,699,0.003,0.331,0.000,0.000,0,0,1.0000,0,1
BTCUSDT,ema_crossover,chan_ts,20,30,2.0,14,2.0,4.0,3.314,37,2964.06,15.69,0.49,0,174,0.040,0.263,0.000,0.000,0,0,0.4866,0,1
BTCUSDT,ema_crossover,sig_be,12,40,2.0,14,1.0,2.0,2.959,56,2321.04,4.79,0.55,0,699,0.027,0.504,0.000,0.000,0,0,0.5076,0,1
BTCUSDT,keltner_breakout,chan,25,25,3.0,14,1.0,4.0,4.679,19,3292.82,4.21,0.37,0,524,0.004,0.394,0.000,0.000,0,0,1.0000,0,1
BTCUSDT,keltner_breakout,chan_ts,25,25,3.0,14,1.0,4.0,4.030,22,2911.48,4.33,0.36,0,524,0.040,0.489,0.000,0.000,0,0,1.0000,0,1
BTCUSDT,keltner_breakout,sig_be,25,25,3.0,14,1.0,3.0,2.551,27,1397.95,3.95,0.41,0,524,0.065,0.670,0.000,0.000,0,0,1.0000,0,1
BTCUSDT,supertrend,chan,7,7,3.5,14,1.2,4.0,4.708,28,4307.24,8.07,0.50,0,349,0.000,0.378,0.000,0.000,0,0,1.0000,0,1
BTCUSDT,supertrend,chan_ts,10,10,3.5,14,1.2,3.5,3.031,39,2406.61,9.80,0.46,0,524,0.010,0.620,0.000,0.000,0,0,0.4860,0,1
BTCUSDT,supertrend,sig_be,10,10,3.5,14,1.2,3.5,1.790,39,1125.90,8.52,0.49,0,524,0.008,0.953,0.000,0.000,0,0,0.4794,0,1
BTCUSDT,tsmom,chan,50,20,0.1,14,2.0,3.5,4.889,30,2866.92,3.96,0.57,0,349,0.032,0.403,0.000,0.000,0,0,1.0000,0,1
BTCUSDT,tsmom,chan_ts,50,20,0.1,14,2.0,3.5,5.081,33,3359.82,4.47,0.61,0,349,0.017,0.358,0.000,0.000,0,0,0.5006,0,1
BTCUSDT,tsmom,sig_be,50,20,0.1,14,2.0,2.0,2.855,71,2438.49,6.48,0.56,0,349,0.054,0.499,0.000,0.000,0,0,0.4932,0,1
BTCUSDT,rsi2,chan,5,50,10.0,14,2.0,4.0,11.706,7,1439.31,1.82,0.71,0,174,0.000,0.389,0.000,0.000,0,0,1.0000,0,1
BTCUSDT,rsi2,chan_ts,4,50,5.0,14,2.0,3.0,10.718,5,1192.72,3.10,0.60,0,174,0.069,0.520,0.000,0.000,0,0,1.0000,0,1
BTCUSDT,rsi2,sig_be,5,50,10.0,14,1.2,2.0,4.623,8,656.72,2.34,0.25,0,174,0.109,0.723,0.000,0.000,0,0,1.0000,0,1
BTCUSDT,rsi_bb_mr,chan,2,15,1.5,14,1.5,4.0,3.719,28,4763.85,15.21,0.32,0,349,0.003,0.370,0.000,0.000,0,0,1.0000,0,1
BTCUSDT,rsi_bb_mr,chan_ts,10,25,1.5,14,2.0,1.8,2.502,111,5960.69,11.35,0.54,0,174,0.046,0.416,1.262,0.482,0,3,0.5074,0,1
BTCUSDT,rsi_bb_mr,sig_be,10,25,1.5,14,1.2,2.5,1.727,129,3991.67,11.38,0.58,0,174,0.598,0.317,11.810,8.057,1,5,0.5060,0,1
