symbol,strategy,exit_mode,p1,p2,p3,atr_per,sl_mult,trail_mult,lookback,sharpe,trades,return_pct,dd_pct,win_rate
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,1.8,0,-3.911,156,-1883.13,37.05,0.40
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,1.8,6,-3.678,154,-1690.22,34.96,0.41
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,1.8,8,-4.033,156,-2048.24,38.70,0.40
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,1.8,10,-4.033,156,-2048.24,38.70,0.40
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,1.8,12,-4.033,156,-2048.24,38.70,0.40
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,2.0,0,-4.753,145,-2470.89,38.05,0.39
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,2.0,6,-3.911,141,-1837.01,31.40,0.40
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,2.0,8,-4.755,144,-2504.19,38.31,0.39
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,2.0,10,-4.755,144,-2504.19,38.31,0.39
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,2.0,12,-4.737,144,-2490.69,38.17,0.39
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,2.2,0,-3.301,137,-1455.44,26.39,0.39
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,2.2,6,-2.602,134,-1004.45,21.64,0.40
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,2.2,8,-3.652,136,-1719.61,28.96,0.39
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,2.2,10,-3.299,136,-1482.61,26.59,0.39
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,2.2,12,-3.299,136,-1482.61,26.59,0.39
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,2.5,0,-6.792,125,-3749.94,51.08,0.38
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,2.5,6,-8.185,121,-4655.37,59.82,0.38
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,2.5,8,-7.792,123,-4547.75,58.90,0.37
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,2.5,10,-7.792,123,-4547.75,58.90,0.37
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,2.5,12,-7.139,124,-4051.63,54.02,0.38
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,3.0,0,-6.305,116,-5377.02,67.62,0.35
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,3.0,6,-7.995,93,-5457.93,65.60,0.33
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,3.0,8,-7.794,102,-5729.83,69.03,0.33
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,3.0,10,-7.511,105,-5282.88,64.80,0.34
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,3.0,12,-6.023,110,-4626.87,61.23,0.35
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,3.5,0,-5.636,101,-5112.24,62.78,0.37
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,3.5,6,-13.069,74,-6922.99,78.73,0.30
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,3.5,8,-13.010,88,-7416.97,84.79,0.32
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,3.5,10,-12.586,93,-7284.61,83.86,0.33
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,3.5,12,-4.807,94,-3125.56,42.36,0.34
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,4.0,0,-6.364,92,-5344.99,64.39,0.34
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,4.0,6,-14.280,64,-7223.70,80.94,0.28
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,4.0,8,-10.864,67,-5212.16,61.07,0.30
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,4.0,10,-11.630,72,-6171.90,71.07,0.29
BTCUSDT,donchian,chan,10,10,2.0,14,0.8,4.0,12,-11.825,75,-6136.80,70.96,0.28
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,1.8,0,-3.912,144,-2144.06,39.50,0.42
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,1.8,6,-3.402,141,-1716.01,34.98,0.44
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,1.8,8,-3.756,143,-2074.03,38.72,0.43
BTCUSDT,donchian,chan,10,10,2.0,14,1.0,1.8,10,-3.756,143,-2074.03,38.72,0.43
