symbol,strategy,exit_mode,p1,p2,p3,atr_per,sl_mult,trail_mult,sharpe,trades,return_pct,dd_pct,win_rate,plateau,neighbors,plateau_ratio,rel_variance,wf_sharpe,wf_oos_is_ratio,wf_passed,wrc_p,wrc_sig,no_lookahead
BTCUSDT,donchian,chan,20,20,2.0,14,2.0,4.0,7.011,30,2381.92,13.36,0.37,0,874,0.002,0.707,0.000,0.000,0,0,1.0000,0,1
BTCUSDT,donchian,chan_ts,15,15,2.0,14,1.0,3.5,2.043,94,1602.38,15.58,0.35,0,699,0.000,1.693,-30.245,5.098,0,3,0.4778,0,1
BTCUSDT,donchian,sig_be,20,20,2.0,14,2.0,1.8,2.296,70,1263.81,20.68,0.54,0,874,0.005,1.622,-38.808,-2.899,0,2,0.4958,0,1
BTCUSDT,dual_momentum,chan,40,40,2.0,14,1.5,4.0,11.368,33,4593.94,10.66,0.45,0,524,0.004,0.469,0.000,0.000,0,0,0.4794,0,1
BTCUSDT,dual_momentum,chan_ts,15,15,2.0,14,2.0,3.5,7.995,61,3967.31,14.37,0.46,0,524,0.000,0.518,0.000,0.000,0,0,0.5006,0,1
BTCUSDT,dual_momentum,sig_be,15,15,2.0,14,1.5,4.0,4.511,148,3413.66,11.36,0.47,0,524,0.017,0.598,-16.017,-12.828,0,5,0.5056,0,1
BTCUSDT,ema_crossover,chan,12,20,2.0,14,2.0,4.0,14.259,26,4850.84,6.85,0.42,0,699,0.001,0.359,0.000,0.000,0,0,1.0000,0,1
BTCUSDT,ema_crossover,chan_ts,20,30,2.0,14,2.0,4.0,8.028,37,2242.59,18.27,0.43,0,174,0.034,0.401,0.000,0.000,0,0,0.4868,0,1
BTCUSDT,ema_crossover,sig_be,12,50,2.0,14,2.0,3.0,8.555,41,2923.66,13.95,0.49,0,699,0.006,0.581,0.000,0.000,0,0,0.4676,0,1
BTCUSDT,keltner_breakout,chan,25,25,3.0,14,2.0,4.0,15.936,16,3418.26,3.66,0.50,0,524,0.006,0.273,0.000,0.000,0,0,1.0000,0,1
BTCUSDT,keltner_breakout,chan_ts,25,25,3.0,14,1.0,4.0,15.639,22,4143.60,2.71,0.41,0,524,0.036,0.304,0.000,0.000,0,0,1.0000,0,1
BTCUSDT,keltner_breakout,sig_be,20,20,3.0,14,1.0,3.0,13.512,19,1976.39,2.84,0.37,0,524,0.065,0.336,0.000,0.000,0,0,1.0000,0,1
BTCUSDT,supertrend,chan,7,7,3.5,14,1.2,3.5,10.348,31,3761.39,7.56,0.42,0,349,0.020,0.446,0.000,0.000,0,0,0.4538,0,1
BTCUSDT,supertrend,chan_ts,10,10,3.5,14,1.2,3.5,6.635,39,1844.00,7.48,0.46,0,524,0.011,0.564,0.000,0.000,0,0,0.4856,0,1
BTCUSDT,supertrend,sig_be,14,14,3.5,14,1.0,4.0,6.708,42,1409.86,4.18,0.57,0,349,0.026,0.777,0.000,0.000,0,0,0.4854,0,1
BTCUSDT,tsmom,chan,40,20,0.2,14,2.0,4.0,13.911,27,5210.11,5.76,0.41,0,524,0.002,0.368,0.000,0.000,0,0,1.0000,0,1
BTCUSDT,tsmom,chan_ts,50,20,0.1,14,2.0,3.5,13.335,33,3039.78,4.01,0.58,0,349,0.009,0.425,0.000,0.000,0,0,0.4848,0,1
BTCUSDT,tsmom,sig_be,50,20,0.1,14,2.0,3.0,5.197,71,1963.37,10.61,0.38,0,349,0.011,1.108,0.000,0.000,0,0,0.4880,0,1
BTCUSDT,rsi2,chan,5,50,10.0,14,2.0,4.0,51.348,7,2117.48,2.10,0.86,0,174,0.029,0.133,0.000,0.000,0,0,1.0000,0,1
BTCUSDT,rsi2,chan_ts,5,50,10.0,14,2.0,3.0,43.822,8,2109.01,2.33,0.75,0,174,0.069,0.144,0.000,0.000,0,0,1.0000,0,1
BTCUSDT,rsi2,sig_be,5,50,10.0,14,1.2,2.2,28.920,8,1535.36,1.34,0.38,1,174,0.856,0.089,0.000,0.000,0,0,1.0000,0,1
BTCUSDT,rsi_bb_mr,chan,2,15,1.5,14,1.5,4.0,16.579,22,6489.11,5.29,0.32,0,349,0.003,0.299,0.000,0.000,0,0,1.0000,0,0
BTCUSDT,rsi_bb_mr,chan_ts,5,20,1.5,14,1.5,3.0,6.666,78,4599.90,16.55,0.46,0,349,0.000,0.426,-57.297,-8.378,0,2,0.4900,0,1
BTCUSDT,rsi_bb_mr,sig_be,2,25,2.5,14,2.0,2.5,3.648,56,1483.26,13.27,0.55,0,349,0.140,0.301,0.000,0.000,0,0,0.5042,0,1
