symbol,strategy,exit_mode,p1,p2,p3,atr_per,sl_mult,trail_mult,sharpe,trades,return_pct,dd_pct,win_rate,plateau,neighbors,plateau_ratio,rel_variance,wf_sharpe,wf_oos_is_ratio,wf_passed,wrc_p,wrc_sig,no_lookahead
AAVEUSDT,donchian,chan,25,25,2.0,21,2.5,3.0,-3.287,460,-45377.84,457.54,0.35,false,0,0.000,1.000,-9.693,3.160,false,1.0000,false,true
AAVEUSDT,donchian,chan_ts,25,25,2.0,21,2.5,3.0,-3.287,460,-45377.84,457.54,0.35,false,0,0.000,1.000,-9.693,3.160,false,1.0000,false,true
AAVEUSDT,donchian,sig_be,25,25,2.0,21,2.5,3.0,-3.287,460,-45377.84,457.54,0.35,false,0,0.000,1.000,-9.693,3.160,false,1.0000,false,true
AAVEUSDT,dual_momentum,chan,30,30,2.0,10,1.5,3.0,0.506,508,1726.58,33.91,0.41,false,26,0.308,0.344,0.560,20.024,true,0.4900,false,true
AAVEUSDT,dual_momentum,chan_ts,30,30,2.0,10,1.5,3.0,0.506,508,1726.58,33.91,0.41,false,26,0.308,0.344,0.560,20.024,true,0.4900,false,true
AAVEUSDT,dual_momentum,sig_be,30,30,2.0,10,1.5,3.0,0.506,508,1726.58,33.91,0.41,false,26,0.308,0.344,0.560,20.024,true,0.4900,false,true
AAVEUSDT,ema_crossover,chan,15,40,2.0,14,2.5,3.0,0.270,162,318.67,18.25,0.37,true,17,1.000,0.008,-3.840,-2.783,false,0.5040,false,true
AAVEUSDT,ema_crossover,chan_ts,15,40,2.0,14,2.5,3.0,0.270,162,318.67,18.25,0.37,true,17,1.000,0.008,-3.840,-2.783,false,0.5040,false,true
AAVEUSDT,ema_crossover,sig_be,15,40,2.0,14,2.5,3.0,0.270,162,318.67,18.25,0.37,true,17,1.000,0.008,-3.840,-2.783,false,0.5040,false,true
AAVEUSDT,keltner_breakout,chan,30,30,1.5,21,2.5,3.0,-3.010,1756,-300236.26,1783.62,0.26,false,0,0.000,1.000,-10.320,2.577,false,1.0000,false,true
AAVEUSDT,keltner_breakout,chan_ts,30,30,1.5,21,2.5,3.0,-3.010,1756,-300236.26,1783.62,0.26,false,0,0.000,1.000,-10.320,2.577,false,1.0000,false,true
AAVEUSDT,keltner_breakout,sig_be,30,30,1.5,21,2.5,3.0,-3.010,1756,-300236.26,1783.62,0.26,false,0,0.000,1.000,-10.320,2.577,false,1.0000,false,true
AAVEUSDT,supertrend,chan,14,14,3.5,21,2.0,3.0,0.957,162,932.30,11.34,0.42,false,17,0.471,0.231,0.992,-1.085,false,0.5026,false,true
AAVEUSDT,supertrend,chan_ts,14,14,3.5,21,2.0,3.0,0.957,162,932.30,11.34,0.42,false,17,0.471,0.231,0.992,-1.085,false,0.5026,false,true
