symbol,strategy,exit_mode,p1,p2,p3,atr_per,sl_mult,trail_mult,sharpe,return_pct,max_dd,trades,plateau,wf_sharpe,wrc_p,wrc_sig
AAVEUSDT,donchian,chan,40,40,2.0,21,2.5,3.0,-0.973,0.0,0.0,63,false,0.000,1.0000,false
AAVEUSDT,donchian,chan_ts,15,15,2.0,21,1.5,3.0,-0.390,0.0,0.0,63,false,0.000,1.0000,false
AAVEUSDT,donchian,sig_be,10,10,2.0,10,2.0,3.0,-0.976,0.0,0.0,63,false,0.000,1.0000,false
AAVEUSDT,dual_momentum,chan,40,40,2.0,14,2.5,3.0,1.250,0.0,0.0,54,true,0.423,0.4760,false
AAVEUSDT,dual_momentum,chan_ts,40,40,2.0,21,2.5,3.0,1.292,0.0,0.0,54,true,0.008,0.4760,false
AAVEUSDT,dual_momentum,sig_be,40,40,2.0,14,2.5,3.0,1.443,0.0,0.0,54,false,0.000,1.0000,false
AAVEUSDT,ema_crossover,chan,12,40,2.0,14,2.5,3.0,1.317,0.0,0.0,207,false,0.000,1.0000,false
AAVEUSDT,ema_crossover,chan_ts,12,40,2.0,14,1.5,3.0,1.567,0.0,0.0,207,false,0.000,1.0000,false
AAVEUSDT,ema_crossover,sig_be,12,40,2.0,14,2.0,3.0,1.274,0.0,0.0,207,false,0.000,1.0000,false
AAVEUSDT,keltner_breakout,chan,10,10,2.5,21,2.5,3.0,3.717,0.0,0.0,171,false,0.000,1.0000,false
AAVEUSDT,keltner_breakout,chan_ts,10,10,2.5,21,2.5,3.0,3.717,0.0,0.0,171,false,0.000,1.0000,false
AAVEUSDT,keltner_breakout,sig_be,10,10,2.5,21,1.5,3.0,2.150,0.0,0.0,171,false,0.000,1.0000,false
AAVEUSDT,supertrend,chan,21,21,3.5,10,2.5,3.0,0.712,0.0,0.0,144,false,0.000,1.0000,false
AAVEUSDT,supertrend,chan_ts,7,7,3.5,21,2.5,3.0,1.477,0.0,0.0,144,false,0.000,1.0000,false
AAVEUSDT,supertrend,sig_be,7,7,2.5,21,2.0,3.0,1.067,0.0,0.0,144,false,0.000,1.0000,false
AAVEUSDT,tsmom,chan,30,30,0.1,10,1.5,3.0,4.277,0.0,0.0,486,false,0.000,1.0000,false
AAVEUSDT,tsmom,chan_ts,30,30,0.1,10,2.5,3.0,4.297,0.0,0.0,486,false,0.000,1.0000,false
AAVEUSDT,tsmom,sig_be,30,30,0.1,14,1.5,3.0,3.875,0.0,0.0,486,false,0.000,1.0000,false
AAVEUSDT,rsi2,chan,2,20,5.0,10,1.5,3.0,2.324,0.0,0.0,162,false,0.000,1.0000,false
AAVEUSDT,rsi2,chan_ts,2,20,5.0,10,1.5,3.0,2.324,0.0,0.0,162,false,0.000,1.0000,false
AAVEUSDT,rsi2,sig_be,2,20,5.0,10,1.5,3.0,2.324,0.0,0.0,162,false,0.000,1.0000,false
