symbol,strategy,exit_mode,p1,p2,p3,atr_per,sl_mult,trail_mult,sharpe,trades,plateau,wf_sharpe,wrc_p,wrc_sig
AAVEUSDT,donchian,chan,10,10,2.0,10,1.5,3.0,-4.341,63,false,0.000,1.0000,false
AAVEUSDT,donchian,chan_ts,10,10,2.0,10,1.5,3.0,-4.341,63,false,0.000,1.0000,false
AAVEUSDT,donchian,sig_be,10,10,2.0,10,1.5,3.0,-4.341,63,false,0.000,1.0000,false
AAVEUSDT,dual_momentum,chan,30,30,2.0,10,1.5,3.0,0.631,54,true,-0.164,0.4760,false
AAVEUSDT,dual_momentum,chan_ts,30,30,2.0,10,1.5,3.0,0.631,54,true,-0.164,0.4760,false
AAVEUSDT,dual_momentum,sig_be,30,30,2.0,10,1.5,3.0,0.631,54,true,-0.164,0.4760,false
AAVEUSDT,ema_crossover,chan,15,30,2.0,10,1.5,3.0,-1.106,207,false,0.000,1.0000,false
AAVEUSDT,ema_crossover,chan_ts,15,30,2.0,10,1.5,3.0,-1.106,207,false,0.000,1.0000,false
AAVEUSDT,ema_crossover,sig_be,15,30,2.0,10,1.5,3.0,-1.106,207,false,0.000,1.0000,false
AAVEUSDT,keltner_breakout,chan,15,15,1.5,10,1.5,3.0,-8.148,171,false,0.000,1.0000,false
AAVEUSDT,keltner_breakout,chan_ts,15,15,1.5,10,1.5,3.0,-8.148,171,false,0.000,1.0000,false
AAVEUSDT,keltner_breakout,sig_be,15,15,1.5,10,1.5,3.0,-8.148,171,false,0.000,1.0000,false
AAVEUSDT,supertrend,chan,21,21,3.5,21,2.5,3.0,1.698,144,false,0.000,1.0000,false
AAVEUSDT,supertrend,chan_ts,21,21,3.5,21,2.5,3.0,1.698,144,false,0.000,1.0000,false
AAVEUSDT,supertrend,sig_be,21,21,3.5,21,2.5,3.0,1.698,144,false,0.000,1.0000,false
AAVEUSDT,tsmom,chan,30,30,0.1,21,2.0,3.0,6.086,486,false,0.000,1.0000,false
AAVEUSDT,tsmom,chan_ts,30,30,0.1,21,2.0,3.0,6.086,486,false,0.000,1.0000,false
AAVEUSDT,tsmom,sig_be,30,30,0.1,21,2.0,3.0,6.086,486,false,0.000,1.0000,false
AAVEUSDT,rsi2,chan,4,50,5.0,10,2.0,3.0,7.243,306,false,0.000,1.0000,false
